,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
0,1,1,4,5,6,7,6,6,6,7,7
1,0,3,3,3,6,6,4,4,10,10,12
2,0,0,0,5,6,6,6,6,6,6,6
3,0,0,4,4,4,4,8,7,7,11,11
4,1,0,0,5,6,6,6,6,6,6,6
5,0,0,0,0,0,0,0,0,0,0,0
6,2,2,2,2,2,2,2,2,2,2,2
7,2,3,3,3,3,3,3,3,3,3,3
8,2,3,3,3,3,3,3,3,3,3,3
9,2,2,2,5,5,7,7,9,9,7,10
10,2,2,1,1,1,7,6,6,6,7,7
11,2,3,3,3,3,3,3,3,3,3,3
12,2,2,3,3,3,7,3,3,3,7,7
13,0,0,1,1,1,1,1,1,1,1,6
14,1,1,1,5,5,5,5,5,5,5,5
15,1,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1,1
20,0,0,0,0,0,0,8,8,8,8,8
21,1,1,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1,1,1,1
23,2,2,0,0,5,7,7,7,7,7,11
24,0,0,0,0,0,0,7,9,10,10,10
25,0,3,3,3,3,3,3,3,3,3,3
26,2,2,2,2,2,2,2,2,2,2,12
27,1,1,4,1,3,3,3,3,3,3,1
28,2,2,2,2,2,2,2,2,2,2,2
29,2,2,2,2,2,2,2,2,2,2,2
30,2,2,2,2,2,2,2,2,2,2,2
31,0,1,3,4,4,4,8,8,8,8,8
32,1,1,4,4,4,4,8,8,4,4,1
33,0,3,3,3,4,4,8,8,8,8,8
34,0,3,4,4,3,3,3,3,3,11,11
35,0,0,0,5,6,6,6,6,6,6,6
36,0,3,3,3,3,3,3,3,3,3,3
37,0,3,0,0,0,0,7,9,9,9,10
38,2,2,2,2,2,2,2,2,2,2,2
39,2,2,2,2,2,2,2,2,2,2,2
40,1,1,4,5,5,5,5,5,5,5,5
41,1,3,4,4,5,5,4,4,10,5,4
42,1,1,4,5,5,5,5,5,5,5,5
43,2,2,2,2,2,2,2,2,2,2,2
44,1,1,4,5,5,5,5,5,5,5,5
45,1,1,4,4,5,5,4,5,5,5,5
46,0,0,0,4,4,4,8,7,7,11,11
47,0,0,0,0,0,0,0,9,9,9,9
48,1,1,4,4,4,4,4,4,4,4,4
49,1,1,4,4,4,4,4,4,4,4,4
50,2,2,2,2,2,2,2,2,2,2,2
51,1,3,4,4,3,3,4,4,10,3,12
52,0,0,3,4,4,4,8,4,4,4,4
53,1,3,4,4,4,4,4,4,4,4,4
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
