,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Louvain,
0,1,1,1,1,1,0,
1,1,3,3,3,6,4,
2,1,1,1,1,1,0,
3,1,3,4,4,4,1,
4,1,1,1,1,1,0,
5,1,1,1,1,1,0,
6,0,3,0,0,6,4,
7,0,0,0,5,5,4,
8,0,0,0,5,5,4,
9,1,3,4,4,4,1,
10,2,2,4,4,4,1,
11,1,1,1,1,1,0,
12,1,1,1,1,1,0,
13,1,1,4,4,4,1,
14,1,2,4,4,4,1,
15,0,1,2,1,1,4,
16,1,3,3,3,3,4,
17,0,3,3,3,3,4,
18,0,3,3,3,3,4,
19,0,3,2,5,3,4,
20,1,3,3,3,3,4,
21,0,3,3,3,2,4,
22,99,99,99,99,99,99,
23,1,1,4,4,4,1,
24,1,3,3,3,3,4,
25,99,99,99,99,99,99,
26,0,1,2,2,2,4,
27,1,1,1,1,1,0,
28,2,2,2,2,2,5,
29,2,2,2,2,2,5,
30,2,2,2,2,2,5,
31,1,1,1,1,1,0,
32,2,2,2,2,2,5,
33,2,2,2,2,2,5,
34,1,3,3,3,3,4,
35,1,1,1,1,1,0,
36,1,3,3,3,3,4,
37,1,1,3,3,3,0,
38,2,2,2,2,2,5,
39,1,3,3,3,3,4,
40,2,2,2,2,2,5,
41,2,2,2,2,2,5,
42,99,99,99,99,99,99,
43,2,2,2,2,2,5,
44,2,2,2,2,2,5,
45,99,99,99,99,99,99,
46,99,99,99,99,99,99,
47,99,99,99,99,99,99,
48,99,99,99,99,99,99,
49,2,2,2,2,2,5,
50,2,2,2,2,2,5,
51,1,1,1,1,1,0,
52,1,1,1,1,1,0,
53,1,3,3,3,3,4,
54,99,99,99,99,99,99,
55,99,99,99,99,99,99,
Modularity,0.12311518826686851,0.12500025232796397,0.17564050535877349,0.17261201642150506,0.16804447554247226,0.20480536482710793,
NMI,0.60529426153354438,0.65030295698201035,0.7780161052799861,0.76549996033205869,0.73241719639929215,1.0,
Silhoutte,0.31507228,0.3000006,0.40140749,0.39926455,0.39050845,0.41566426,
