,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
0,2,2,4,4,6,6,6,6,6
1,1,3,3,3,3,3,3,3,3
2,2,2,4,4,6,6,6,6,6
3,2,2,4,4,4,4,4,9,9
4,2,2,4,4,6,6,6,6,6
5,2,2,2,3,3,3,8,8,10
6,1,3,3,3,3,3,3,3,3
7,0,3,3,3,3,3,8,8,8
8,0,3,3,3,3,3,8,8,8
9,2,2,4,4,4,4,4,4,4
10,0,0,4,4,4,4,4,4,4
11,2,2,1,2,2,2,2,7,10
12,1,3,3,3,3,3,3,3,3
13,2,2,4,4,4,4,4,4,4
14,2,2,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2,2,2
16,1,1,1,5,5,5,5,5,5
17,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2,2
20,2,2,2,2,2,2,2,2,2
21,1,3,3,3,3,3,3,3,3
22,99,99,99,99,99,99,99,99,99
23,2,2,4,4,4,4,4,4,4
24,2,2,4,4,4,4,4,9,9
25,2,2,4,1,1,7,7,9,9
26,2,2,2,2,2,2,2,2,2
27,99,99,99,99,99,99,99,99,99
28,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1
30,2,3,3,1,3,7,7,7,7
31,2,3,3,5,3,7,7,7,7
32,1,3,3,3,3,7,7,7,7
33,2,2,4,4,6,6,6,6,6
34,1,1,1,1,1,1,1,1,1
35,2,2,4,4,6,6,6,6,6
36,99,99,99,99,99,99,99,99,99
37,99,99,99,99,99,99,99,99,99
38,1,1,1,5,5,5,5,5,5
39,1,1,1,5,5,5,5,5,5
40,1,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1,1
42,99,99,99,99,99,99,99,99,99
43,1,3,3,1,1,1,1,1,1
44,1,1,1,5,5,5,5,5,5
45,99,99,99,99,99,99,99,99,99
46,1,1,1,5,5,5,5,5,5
47,99,99,99,99,99,99,99,99,99
48,1,1,1,1,1,1,1,1,1
49,1,1,1,5,5,5,5,5,5
50,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,9,9
52,0,0,0,0,2,3,0,2,10
53,1,1,2,1,1,1,8,8,10
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
