,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
0,2,2,2,5,5,5
1,1,3,4,3,3,4
2,2,2,4,5,5,5
3,1,1,1,1,1,1
4,2,3,2,5,5,5
5,0,0,4,3,3,4
6,1,3,4,3,3,4
7,0,0,0,5,6,6
8,1,1,1,1,6,6
9,1,1,3,4,4,7
10,1,3,3,4,4,3
11,1,3,4,3,3,3
12,0,3,4,3,3,4
13,0,3,3,4,4,3
14,2,2,2,2,2,2
15,2,2,2,2,2,2
16,0,0,0,0,6,7
17,2,2,2,2,2,2
18,2,2,2,2,2,2
19,2,2,2,2,2,2
20,2,2,2,2,2,2
21,2,2,2,2,2,2
22,1,1,1,1,1,1
23,0,3,3,4,4,3
24,0,3,3,3,4,3
25,1,1,1,1,1,1
26,2,2,2,2,2,2
27,1,1,1,1,1,1
28,1,1,1,1,1,1
29,1,1,1,1,1,1
30,1,1,4,1,1,1
31,1,1,1,1,1,1
32,1,1,1,1,1,1
33,1,1,1,1,1,1
34,1,1,1,1,1,1
35,1,1,1,1,1,1
36,1,1,1,1,1,1
37,1,1,1,1,1,1
38,1,1,1,1,1,1
39,1,1,1,1,1,1
40,1,1,1,1,1,1
41,1,1,1,1,1,1
42,1,1,1,1,1,1
43,99,99,99,99,99,99
44,1,1,1,1,1,1
45,1,1,1,1,1,1
46,1,1,1,1,1,1
47,99,99,99,99,99,99
48,1,1,1,1,1,1
49,1,1,1,1,1,1
50,1,1,1,1,1,1
51,1,1,1,1,1,1
52,1,1,1,1,1,1
53,1,1,1,1,1,1
54,99,99,99,99,99,99
55,1,1,1,1,1,1
