,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,2,2,2,5,6,6,6,6
1,0,3,4,3,3,3,3,3
2,2,2,2,5,6,6,6,6
3,1,3,4,4,4,3,7,7
4,2,2,2,5,6,6,6,6
5,0,3,3,3,3,7,8,8
6,0,3,3,3,3,3,3,3
7,0,3,3,3,3,3,3,3
8,0,3,3,3,3,7,3,3
9,0,0,4,4,4,5,7,7
10,1,3,3,3,3,7,8,8
11,99,99,99,99,99,99,99,99
12,2,3,3,3,3,7,8,8
13,2,2,2,5,5,5,5,5
14,2,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2,2
16,2,2,0,2,2,7,8,9
17,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2
20,1,1,1,2,2,2,2,1
21,2,2,2,2,2,2,2,2
22,99,99,99,99,99,99,99,99
23,0,0,0,5,5,7,7,7
24,2,2,2,5,5,5,7,7
25,0,3,3,5,5,5,5,5
26,2,2,2,2,5,5,2,2
27,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1
30,1,1,4,4,4,4,4,4
31,1,1,4,4,4,4,4,4
32,1,1,1,1,1,1,1,1
33,0,0,4,4,4,4,4,4
34,99,99,99,99,99,99,99,99
35,2,2,2,5,6,6,6,6
36,99,99,99,99,99,99,99,99
37,99,99,99,99,99,99,99,99
38,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1
43,0,0,0,5,5,5,5,5
44,99,99,99,99,99,99,99,99
45,99,99,99,99,99,99,99,99
46,1,1,1,1,1,1,8,8
47,99,99,99,99,99,99,99,99
48,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,8,9
53,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
