,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,
0,1,1,1,3,6,6,6,6,10,10,10,5,
1,2,3,3,3,6,6,6,6,6,6,6,5,
2,2,3,3,5,5,5,5,5,5,5,5,4,
3,2,2,3,5,5,5,5,5,6,6,6,4,
4,0,3,3,3,6,6,6,6,10,10,10,5,
5,2,0,4,4,4,4,4,4,4,4,4,0,
6,0,1,1,3,6,6,6,6,6,6,6,5,
7,0,0,4,4,4,7,7,7,7,7,7,0,
8,0,0,4,4,4,7,7,7,7,7,7,0,
9,2,2,2,5,5,6,4,9,9,9,9,4,
10,2,2,4,4,4,4,4,4,4,4,4,4,
11,0,1,4,4,4,4,4,4,4,4,4,0,
12,2,1,4,4,4,4,4,4,4,4,4,0,
13,2,2,2,5,5,4,4,4,4,9,9,4,
14,1,3,3,3,3,3,3,3,3,3,3,1,
15,1,3,3,3,3,3,3,3,3,3,3,1,
16,0,0,0,0,0,0,8,8,8,8,8,1,
17,1,3,3,3,3,3,3,3,3,3,3,1,
18,1,3,3,3,3,3,3,3,3,3,3,1,
19,0,0,0,0,0,0,0,0,0,11,11,1,
20,1,3,3,3,3,3,3,3,3,3,3,1,
21,1,1,4,4,4,4,4,4,4,4,4,1,
22,99,99,99,99,99,99,99,99,99,99,99,99,
23,2,2,2,5,6,7,7,9,9,9,9,4,
24,2,2,2,5,6,6,6,9,9,9,9,4,
25,2,2,2,5,5,1,1,9,6,6,6,4,
26,1,3,3,3,3,3,3,3,3,3,3,1,
27,1,1,1,1,1,1,1,1,1,1,1,3,
28,1,1,1,1,1,1,1,1,1,1,1,3,
29,1,1,1,1,1,1,1,1,1,1,1,3,
30,2,2,2,5,5,5,5,5,5,5,5,4,
31,2,2,2,5,5,5,5,5,5,5,5,4,
32,2,3,2,5,5,5,5,5,5,5,5,4,
33,1,1,1,1,1,1,1,1,1,1,1,3,
34,1,1,1,1,1,1,1,1,1,1,1,3,
35,0,3,1,3,6,6,6,6,10,10,10,5,
36,2,2,2,2,5,7,7,7,7,7,7,0,
37,2,2,2,2,2,2,2,2,2,2,2,6,
38,1,1,1,1,1,1,1,1,1,1,1,3,
39,2,2,2,2,2,2,2,2,2,2,2,6,
40,1,1,1,1,1,1,1,1,1,1,1,3,
41,0,0,0,0,0,0,0,0,0,0,0,3,
42,0,0,0,0,0,0,0,0,0,0,0,3,
43,0,1,1,1,6,6,6,5,5,10,10,3,
44,2,2,2,2,2,2,2,2,2,2,2,6,
45,2,2,2,2,2,2,2,2,2,2,2,6,
46,1,1,1,1,1,1,8,8,8,8,8,0,
47,2,2,2,2,2,2,2,2,2,2,2,6,
48,1,1,1,1,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,1,1,1,1,1,3,
50,0,0,0,0,0,0,0,8,4,11,11,3,
51,1,1,1,1,1,1,1,1,1,1,1,3,
52,0,0,0,0,0,0,0,0,0,11,12,0,
53,1,1,1,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.10790363127688368,0.11778088843393349,0.15156392677155678,0.23036727553525116,0.2107872789256456,0.2086030617837036,0.21357578037438923,0.21438658404662964,0.20398389820419915,0.20855200591220768,0.20878291847279673,0.25551982209652624,
NMI,0.43299010656965026,0.49698801384698732,0.5367478982545032,0.71370603407667987,0.68338546368952713,0.6336273437239418,0.66024337217278273,0.72108137550383611,0.67785888557272034,0.71539185913977188,0.72774790808324752,1.0,
Silhoutte,-0.00084037,0.0273056,0.07130003,0.19699362,0.24072552,0.26929385,0.26674811,0.30498848,0.30918445,0.32370617,0.32214438,0.23131769,
