,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,
0,0,0,3,5,5,5,5,5,5,5,0,
1,0,3,0,3,6,6,6,6,6,6,1,
2,0,0,4,5,5,3,3,5,5,5,0,
3,2,3,4,4,4,4,4,4,4,4,3,
4,0,3,3,5,5,5,5,5,5,5,0,
5,2,2,3,2,2,2,2,2,2,2,2,
6,0,3,0,3,6,6,6,6,6,6,1,
7,0,3,3,3,6,6,6,6,6,6,1,
8,0,3,0,3,6,6,6,6,10,10,5,
9,0,0,4,4,4,4,4,4,4,4,3,
10,2,2,3,2,2,2,2,2,2,2,2,
11,2,2,3,2,2,2,2,2,2,2,2,
12,2,2,3,2,2,2,2,2,2,2,2,
13,2,2,4,4,4,4,4,4,4,4,3,
14,0,1,2,1,6,6,8,8,8,8,4,
15,2,2,2,2,2,2,2,9,9,9,2,
16,2,2,2,2,2,2,2,9,1,1,2,
17,2,2,2,2,2,2,2,9,9,9,2,
18,2,2,2,2,2,2,2,9,9,9,2,
19,2,2,2,2,2,2,2,9,9,0,2,
20,2,2,2,2,2,2,2,9,9,9,2,
21,2,2,2,2,2,2,2,2,2,2,2,
22,2,2,2,2,2,2,2,9,9,9,2,
23,0,0,4,4,4,4,4,4,4,4,3,
24,2,2,3,3,6,6,8,8,8,8,4,
25,0,0,3,0,6,6,8,8,8,8,4,
26,0,3,4,4,3,3,3,9,9,9,3,
27,2,2,2,2,2,2,2,2,2,2,2,
28,1,1,1,1,1,1,1,1,1,1,2,
29,1,1,1,1,1,1,1,1,1,1,5,
30,0,3,4,4,4,3,3,3,3,3,3,
31,1,3,4,3,3,3,3,3,3,3,4,
32,0,3,4,3,3,3,3,3,3,3,4,
33,1,3,3,3,3,3,3,3,3,3,4,
34,1,1,1,1,1,1,1,1,1,1,5,
35,0,0,3,5,5,5,5,5,5,5,0,
36,1,1,1,1,1,1,1,1,10,10,5,
37,0,0,4,0,3,7,7,9,9,11,5,
38,1,1,1,1,1,1,1,1,1,1,5,
39,1,1,1,1,1,1,1,1,1,1,5,
40,2,2,3,4,4,7,7,7,7,7,4,
41,2,2,3,4,4,7,7,7,7,7,4,
42,2,2,3,4,4,7,7,7,7,7,4,
43,1,3,3,3,3,7,7,7,7,7,4,
44,1,1,1,1,1,7,7,1,1,1,5,
45,1,1,1,1,1,1,1,1,1,1,5,
46,1,1,1,1,1,1,1,1,1,1,5,
47,0,3,4,0,3,7,7,6,6,11,5,
48,1,1,1,1,1,1,1,1,1,1,5,
49,1,1,1,1,1,1,1,1,1,1,5,
50,1,3,1,3,3,3,3,3,3,3,4,
51,1,1,1,1,1,1,1,1,1,1,5,
52,1,1,1,1,1,1,1,1,1,1,5,
53,1,1,1,1,1,1,1,1,1,1,5,
54,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.11793427543920684,0.10282932602906514,0.12403241280440262,0.1411133204920233,0.15391654347115297,0.16068803377916718,0.1617624484760003,0.14528825445335547,0.14028667652079693,0.14257266745994862,0.1760390148420112,
NMI,0.44465027852075234,0.47458810080990016,0.52730966088238052,0.72206479814095414,0.71925446188532294,0.70765419344014191,0.74114864016791993,0.73010112905895808,0.70914419227237546,0.74158501075642003,1.0,
Silhoutte,0.04508028,0.02795318,0.05595094,0.10573833,0.11921517,0.16288481,0.20109482,0.19410128,0.21023881,0.26782615,0.13745914,
