,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
0,2,2,4,5,5,5,5,5,5
1,2,2,0,5,5,7,7,7,7
2,1,3,1,5,5,5,5,5,5
3,1,3,3,3,3,3,3,3,3
4,0,0,0,5,5,5,5,5,5
5,1,1,1,1,1,1,1,1,1
6,2,2,4,5,5,7,7,7,7
7,0,0,0,0,6,6,6,6,6
8,0,1,1,1,6,6,6,6,6
9,1,3,3,3,3,3,3,3,3
10,2,0,4,5,5,5,5,5,5
11,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1
13,1,3,2,2,2,2,2,2,2
14,1,1,1,1,1,1,1,1,1
15,1,3,3,3,3,3,3,3,3
16,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1
19,1,3,3,3,3,3,3,3,3
20,1,1,1,1,1,1,1,1,10
21,1,0,4,5,5,7,7,7,7
22,1,3,3,3,3,3,3,3,10
23,2,2,2,2,2,2,2,2,2
24,2,2,2,2,2,2,2,2,2
25,1,1,1,1,1,1,1,1,1
26,0,2,2,2,2,2,2,9,9
27,2,2,4,4,4,4,4,8,8
28,1,3,3,3,3,3,3,3,3
29,2,2,4,4,4,4,4,8,8
30,1,3,3,3,3,3,3,3,3
31,1,3,3,3,3,3,3,3,3
32,1,3,3,3,3,3,3,3,3
33,1,3,3,3,3,3,3,3,3
34,0,3,3,3,6,6,6,6,6
35,2,0,0,5,5,5,5,8,8
36,0,0,0,0,6,6,6,6,6
37,0,3,4,4,4,4,8,9,10
38,2,3,4,4,4,4,4,4,4
39,2,3,4,4,4,4,4,4,4
40,0,3,4,4,4,4,4,4,4
41,2,1,4,4,4,4,4,4,4
42,2,3,4,4,4,4,4,4,4
43,2,2,2,2,2,2,2,9,9
44,2,2,4,4,4,4,4,8,8
45,0,2,2,2,6,6,6,9,9
46,2,2,2,2,2,2,2,2,2
47,1,1,1,1,1,1,1,1,1
48,2,2,4,4,4,7,8,8,8
49,2,2,4,4,4,4,4,8,8
50,2,2,2,2,2,2,2,8,8
51,2,2,2,2,2,2,2,2,2
52,2,2,2,2,2,2,2,2,8
53,2,2,4,4,4,4,4,8,8
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
