,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Louvain,LPA
0,2,2,2,5,5,0,0
1,2,2,3,5,5,0,0
2,1,3,4,4,4,0,1
3,2,3,3,3,3,2,2
4,1,1,1,1,1,0,3
5,1,1,1,1,1,0,4
6,1,1,1,1,1,0,3
7,1,1,1,1,1,0,4
8,1,1,1,1,1,0,4
9,1,1,1,1,1,0,4
10,1,1,1,1,1,0,4
11,1,1,1,1,1,0,4
12,1,1,1,1,1,0,4
13,1,1,1,1,1,0,4
14,1,1,1,1,1,0,3
15,1,1,1,1,1,0,3
16,1,1,1,1,1,0,4
17,1,1,1,1,1,0,3
18,1,1,1,1,1,0,4
19,1,1,1,1,1,0,4
20,1,1,1,1,1,0,4
21,1,1,1,1,1,0,4
22,1,1,1,1,1,0,4
23,1,1,1,1,1,0,3
24,1,3,3,3,3,2,5
25,2,3,3,3,3,0,2
26,0,0,4,0,6,0,6
27,2,2,2,2,2,1,7
28,2,2,2,2,2,1,7
29,2,2,2,2,2,1,7
30,1,3,3,3,3,2,5
31,2,2,2,2,2,1,7
32,2,2,2,2,2,1,7
33,2,2,2,2,2,1,7
34,2,2,2,2,2,1,7
35,2,2,4,4,4,2,6
36,2,2,2,2,2,1,7
37,1,3,3,3,3,2,5
38,2,2,2,2,2,1,7
39,2,2,2,2,2,1,7
40,1,2,2,2,6,1,5
41,2,2,2,2,2,1,7
42,2,2,2,2,2,1,6
43,1,1,4,4,6,2,6
44,2,2,2,2,2,1,7
45,2,2,2,2,2,1,7
46,1,3,3,3,3,2,5
47,2,2,2,2,2,1,7
48,2,2,2,2,2,1,7
49,1,3,3,3,3,2,5
50,0,0,4,4,4,2,1
51,1,3,3,3,3,2,5
52,1,1,1,1,4,0,1
53,1,1,1,5,6,2,6
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
Modularity,0.19927071988153738,0.28223821666218796,0.2969932251118571,0.30710040904108005,0.2994351240522899,0.3226048824779628,0.2280726012867902
NMI,0.36487489305130921,0.55562928273251289,0.65092867154395539,0.74090404511080798,0.6808852652222892,1.0,0.60562659020727205
