,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,1,3,4,4,4,4,4,4
1,1,3,4,4,4,4,4,4
2,99,99,99,99,99,99,99,99
3,2,2,2,2,2,2,2,8
4,1,3,4,4,4,4,4,4
5,2,0,0,0,2,0,8,2
6,0,0,0,0,0,7,7,7
7,2,2,2,2,2,2,2,2
8,2,2,2,2,2,2,2,2
9,99,99,99,99,99,99,99,99
10,2,2,2,2,2,2,2,2
11,2,3,3,5,3,7,7,3
12,2,2,4,4,4,4,4,4
13,2,2,2,2,2,2,2,2
14,2,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2,2
16,2,2,3,2,2,2,2,2
17,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2
19,2,2,3,5,5,5,5,5
20,0,3,3,5,5,5,5,5
21,2,2,4,4,4,2,2,2
22,2,3,3,5,5,5,5,5
23,2,2,2,2,2,2,8,8
24,2,2,2,2,2,3,8,8
25,1,2,3,2,2,7,7,3
26,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1
28,2,2,3,2,3,2,2,2
29,1,1,1,1,1,1,1,1
30,1,3,3,1,1,7,7,3
31,2,3,3,5,5,7,7,3
32,2,3,3,2,3,7,7,3
33,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1
35,0,3,4,4,4,4,4,4
36,1,3,3,3,3,3,3,7
37,1,3,3,3,3,3,3,9
38,0,3,0,3,3,3,3,7
39,1,3,3,3,3,3,3,7
40,2,2,4,4,6,6,6,6
41,2,2,4,3,6,6,6,6
42,2,2,4,5,6,6,6,6
43,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1
45,1,3,3,3,3,7,7,3
46,1,1,1,1,1,1,1,1
47,1,3,3,3,3,3,3,9
48,1,3,3,3,3,7,7,3
49,1,1,3,1,3,7,7,3
50,1,1,1,1,1,1,8,8
51,1,1,1,1,1,1,1,1
52,1,1,1,1,1,7,7,3
53,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
