,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,2,2,2,2,2,2,6,
1,2,3,3,3,3,7,2,
2,2,2,2,2,2,2,6,
3,2,2,4,4,6,6,1,
4,2,2,2,2,2,2,6,
5,0,0,0,0,0,0,6,
6,0,3,3,3,3,7,2,
7,0,0,4,4,4,4,0,
8,0,0,4,4,4,4,0,
9,2,2,4,4,6,6,1,
10,1,1,4,4,6,6,1,
11,2,2,2,2,2,2,6,
12,2,2,2,2,2,2,6,
13,2,2,4,4,6,6,1,
14,2,2,4,4,6,6,1,
15,2,3,3,3,3,3,2,
16,0,3,3,3,3,3,2,
17,0,3,3,3,3,3,2,
18,0,3,3,3,3,3,2,
19,0,3,3,3,3,3,2,
20,0,3,3,3,3,3,2,
21,0,3,3,3,3,7,2,
22,99,99,99,99,99,99,99,
23,2,2,4,5,6,5,1,
24,0,3,3,3,3,3,2,
25,99,99,99,99,99,99,99,
26,2,2,3,3,3,7,2,
27,2,2,2,2,2,2,6,
28,1,1,1,1,1,1,5,
29,1,1,1,1,1,1,5,
30,1,1,1,5,5,5,5,
31,1,1,1,5,5,5,5,
32,1,1,1,5,5,5,5,
33,1,1,1,1,1,1,5,
34,2,3,3,3,3,3,2,
35,2,2,2,2,2,2,6,
36,1,1,4,4,4,4,0,
37,2,2,2,2,2,2,6,
38,1,1,1,1,1,1,5,
39,1,1,1,1,1,1,5,
40,1,1,1,1,1,1,5,
41,1,1,1,1,1,1,5,
42,99,99,99,99,99,99,99,
43,1,1,1,1,1,1,5,
44,1,1,1,1,1,1,5,
45,99,99,99,99,99,99,99,
46,99,99,99,99,99,99,99,
47,99,99,99,99,99,99,99,
48,99,99,99,99,99,99,99,
49,1,1,1,1,1,1,5,
50,1,1,1,4,4,4,5,
51,2,2,2,2,2,2,6,
52,2,2,2,2,2,2,6,
53,0,0,0,0,0,7,5,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.1567884474679419,0.17629036399025882,0.2380576677054846,0.21612038119927307,0.22713614569718152,0.2097902409499799,0.25031464382632795,
NMI,0.52865845062048289,0.69567246042667452,0.89907187742990258,0.78285802784884373,0.86554475350873905,0.78962292264642231,1.0,
Silhoutte,0.22224289,0.24734555,0.3315013,0.33186354,0.3930848,0.37559336,0.3844501,
