,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,0,1,1,5,6,6,6,6,0,0
1,1,1,1,5,6,6,8,8,1,1
2,2,2,2,2,2,2,2,2,1,2
3,2,3,4,4,4,4,4,4,1,3
4,0,0,1,5,6,6,6,6,0,0
5,2,2,2,2,2,2,2,2,1,2
6,1,1,1,5,6,6,8,8,1,1
7,0,3,0,5,5,5,5,5,2,1
8,2,2,2,5,5,5,5,5,2,1
9,2,3,4,4,4,4,4,4,1,3
10,1,1,1,5,6,6,6,6,0,0
11,2,2,2,2,2,2,2,2,1,2
12,1,1,2,3,2,2,2,2,3,4
13,2,3,3,3,3,3,3,3,4,4
14,2,2,2,2,2,2,2,2,1,2
15,2,3,4,4,4,4,4,4,1,4
16,2,2,2,2,2,2,2,2,1,2
17,2,2,2,2,2,2,2,2,1,2
18,2,2,2,2,2,2,2,2,1,4
19,0,3,4,4,4,4,4,4,1,3
20,2,2,2,2,2,2,2,2,1,2
21,0,0,0,5,6,6,8,8,1,1
22,2,2,2,4,4,2,2,2,1,2
23,1,3,3,3,3,3,3,3,4,5
24,1,1,3,3,3,3,3,3,4,5
25,2,2,2,2,2,2,2,2,1,2
26,0,1,3,3,3,3,3,3,4,6
27,1,1,1,1,1,1,1,1,3,7
28,2,2,2,2,2,2,2,2,1,4
29,1,1,1,1,1,1,1,1,3,7
30,2,2,4,4,4,4,4,4,1,3
31,2,2,4,4,4,4,4,4,1,3
32,2,2,4,4,4,4,4,4,1,3
33,2,3,4,4,4,4,4,4,1,3
34,1,1,1,5,5,5,5,5,2,1
35,1,1,1,1,6,6,6,6,3,2
36,0,0,0,5,5,5,5,5,2,1
37,1,3,1,1,1,1,1,9,3,8
38,1,3,1,1,1,1,1,9,3,8
39,1,1,1,1,1,1,1,1,3,8
40,0,3,0,0,5,7,7,7,3,8
41,1,3,3,1,2,7,7,7,3,8
42,1,3,1,1,1,7,7,7,3,8
43,1,1,1,1,1,3,3,3,3,7
44,1,1,1,1,1,1,1,1,3,7
45,1,1,3,3,5,3,3,5,4,6
46,1,1,3,3,3,3,3,3,4,5
47,2,2,2,2,2,2,2,2,1,2
48,1,1,1,1,1,1,1,1,3,7
49,1,1,1,1,1,1,1,1,3,4
50,1,1,1,1,1,1,1,1,3,7
51,1,1,3,3,3,3,3,3,4,5
52,1,1,3,3,3,3,3,3,4,5
53,1,1,1,1,1,1,1,1,3,7
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.11202606630577838,0.10292764184891126,0.1084230651264983,0.13324437983150253,0.12211195283166755,0.12723693026982136,0.12887915766796243,0.11619341682656426,0.14598049173627922,0.09823194129232146
NMI,0.39989238220303991,0.32143074650218745,0.53439043794412255,0.73286875755723058,0.667868425800617,0.69667924389163483,0.73507525144461694,0.68970861659923122,1.0,0.64769629265993678
