,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
0,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,7,7,7,7,7,7
2,2,2,2,5,5,5,5,5,5,5,5
3,2,2,2,2,2,2,2,2,2,2,2
4,0,0,0,0,0,7,7,7,10,10,10
5,1,1,1,1,1,1,1,1,1,1,1
6,0,0,0,0,5,7,7,7,7,7,7
7,2,3,4,4,4,4,4,4,4,4,4
8,2,2,2,2,2,2,2,2,2,2,2
9,1,1,1,1,1,1,1,1,1,1,1
10,2,2,2,2,2,2,2,2,2,2,2
11,1,1,1,1,1,1,1,1,1,1,1
12,2,2,2,2,2,2,2,2,2,2,2
13,1,1,1,1,1,1,1,1,1,1,1
14,0,0,3,3,6,6,6,6,6,11,11
15,2,2,3,3,6,6,6,6,6,6,6
16,0,0,4,4,4,4,4,9,9,9,9
17,0,1,3,3,6,6,6,6,6,11,11
18,1,1,1,1,1,1,1,9,9,9,9
19,0,0,0,2,2,7,8,8,8,8,8
20,0,3,3,5,5,5,5,5,5,5,5
21,1,1,1,1,1,1,1,1,1,1,1
22,0,0,3,5,5,5,5,5,5,5,5
23,2,3,4,4,4,4,4,4,4,4,4
24,0,3,4,4,4,4,4,4,4,4,4
25,2,2,2,2,2,2,2,2,2,2,2
26,2,2,2,3,6,6,6,6,6,6,6
27,2,2,2,2,2,7,8,8,8,8,8
28,2,2,2,2,2,2,2,2,2,2,2
29,0,3,3,3,3,3,8,8,8,8,8
30,2,2,2,2,2,2,2,2,2,2,2
31,0,3,2,5,5,5,5,5,5,5,5
32,2,2,2,5,5,5,5,5,5,5,5
33,2,3,4,2,2,2,2,2,2,2,2
34,0,3,3,3,3,3,3,3,3,3,3
35,1,1,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1,1,1,10
37,0,0,0,0,0,0,0,0,10,10,12
38,0,0,0,0,0,0,0,0,10,10,12
39,0,3,4,4,3,4,4,9,9,9,9
40,0,3,3,3,3,3,3,3,3,3,3
41,0,0,0,0,0,0,3,3,0,0,10
42,0,3,3,3,3,3,3,3,3,3,3
43,0,0,0,0,0,7,7,7,7,7,7
44,1,3,3,3,3,3,3,3,3,3,3
45,0,0,2,0,6,6,6,6,6,6,6
46,1,3,4,4,6,6,6,6,6,4,4
47,0,0,3,3,3,3,0,0,0,0,12
48,0,3,0,0,0,0,3,3,10,10,10
49,2,3,4,4,4,4,4,4,4,4,4
50,1,3,3,3,4,4,4,4,4,4,4
51,0,0,0,0,0,0,0,0,0,11,11
52,1,1,1,1,1,1,1,1,1,1,1
53,0,3,4,4,4,4,8,4,4,4,4
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
