,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,2,2,2,2,2,2,6,0
1,2,3,3,3,3,7,2,1
2,2,2,2,2,2,2,6,0
3,2,2,4,4,6,6,1,2
4,2,2,2,2,2,2,6,0
5,0,0,0,0,0,0,6,3
6,0,3,3,3,3,7,2,4
7,0,0,4,4,4,4,0,3
8,0,0,4,4,4,4,0,3
9,2,2,4,4,6,6,1,2
10,1,1,4,4,6,6,1,2
11,2,2,2,2,2,2,6,0
12,2,2,2,2,2,2,6,0
13,2,2,4,4,6,6,1,2
14,2,2,4,4,6,6,1,2
15,2,3,3,3,3,3,2,4
16,0,3,3,3,3,3,2,1
17,0,3,3,3,3,3,2,1
18,0,3,3,3,3,3,2,1
19,0,3,3,3,3,3,2,3
20,0,3,3,3,3,3,2,1
21,0,3,3,3,3,7,2,4
22,99,99,99,99,99,99,99,99
23,2,2,4,5,6,5,1,3
24,0,3,3,3,3,3,2,1
25,99,99,99,99,99,99,99,99
26,2,2,3,3,3,7,2,4
27,2,2,2,2,2,2,6,0
28,1,1,1,1,1,1,5,5
29,1,1,1,1,1,1,5,5
30,1,1,1,5,5,5,5,6
31,1,1,1,5,5,5,5,6
32,1,1,1,5,5,5,5,6
33,1,1,1,1,1,1,5,5
34,2,3,3,3,3,3,2,1
35,2,2,2,2,2,2,6,0
36,1,1,4,4,4,4,0,3
37,2,2,2,2,2,2,6,0
38,1,1,1,1,1,1,5,3
39,1,1,1,1,1,1,5,5
40,1,1,1,1,1,1,5,5
41,1,1,1,1,1,1,5,5
42,99,99,99,99,99,99,99,99
43,1,1,1,1,1,1,5,5
44,1,1,1,1,1,1,5,5
45,99,99,99,99,99,99,99,99
46,99,99,99,99,99,99,99,99
47,99,99,99,99,99,99,99,99
48,99,99,99,99,99,99,99,99
49,1,1,1,1,1,1,5,5
50,1,1,1,4,4,4,5,3
51,2,2,2,2,2,2,6,0
52,2,2,2,2,2,2,6,0
53,0,0,0,0,0,7,5,3
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
Modularity,0.1567884474679419,0.17629036399025882,0.2380576677054846,0.21612038119927307,0.22713614569718152,0.2097902409499799,0.25031464382632795,0.1894601151033403
NMI,0.52865845062048289,0.69567246042667452,0.89907187742990258,0.78285802784884373,0.86554475350873905,0.78962292264642231,1.0,0.72515272651925078
