,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,0,0,0,0,6,6,6,6,6,6
1,1,1,4,5,5,7,1,1,1,7
2,1,1,4,4,4,4,4,4,4,4
3,1,1,2,4,5,7,8,8,8,8
4,0,0,0,5,6,6,6,6,6,6
5,1,1,2,2,2,7,7,7,7,1
6,2,2,2,5,5,7,1,1,1,7
7,1,1,2,5,5,7,1,1,1,7
8,1,1,2,5,5,1,2,2,2,2
9,2,2,1,1,1,1,8,8,8,8
10,1,1,4,5,6,6,8,8,8,8
11,2,2,1,1,1,1,2,2,2,2
12,1,1,2,2,2,2,7,7,7,1
13,1,1,2,2,1,7,8,8,8,8
14,0,0,0,0,0,0,0,9,9,9
15,1,1,2,2,2,2,7,7,7,1
16,2,2,2,2,2,2,7,7,7,1
17,1,1,2,2,2,2,7,7,7,1
18,1,1,2,2,2,2,7,7,7,1
19,1,1,2,2,2,2,7,7,7,1
20,1,1,4,4,4,4,4,4,4,4
21,1,1,2,2,2,7,1,1,1,7
22,1,1,4,4,4,4,7,7,7,4
23,0,3,1,1,1,7,8,8,8,8
24,2,3,3,3,3,3,3,3,3,3
25,1,1,2,0,0,7,1,9,9,9
26,1,1,0,2,6,2,8,7,10,10
27,2,2,1,1,1,1,2,2,2,2
28,1,1,2,4,4,4,4,4,2,2
29,2,2,1,1,1,1,3,3,2,3
30,1,1,4,4,4,4,4,4,4,4
31,2,2,4,4,4,4,4,4,4,4
32,1,3,4,4,4,4,4,4,4,4
33,1,1,4,4,4,4,4,4,4,4
34,2,2,3,3,3,3,3,3,3,3
35,2,2,3,3,6,6,6,6,6,6
36,2,2,1,1,1,1,2,2,2,2
37,0,0,0,0,0,0,0,9,9,11
38,0,0,1,1,1,7,2,9,9,11
39,2,2,1,1,1,1,2,2,2,11
40,2,2,2,5,5,5,5,5,5,5
41,1,1,2,5,5,5,5,5,5,5
42,1,1,2,5,5,5,5,5,5,5
43,2,2,3,3,3,3,3,3,3,3
44,2,2,1,1,1,1,2,2,2,11
45,2,2,0,5,0,7,3,9,10,10
46,2,2,3,3,3,3,3,3,3,3
47,2,2,1,1,1,1,2,2,2,2
48,2,2,1,1,1,1,2,2,2,2
49,2,2,1,1,1,4,4,4,4,4
50,2,3,3,3,3,3,3,3,3,3
51,2,3,3,3,3,3,3,3,3,3
52,2,3,3,3,3,3,3,3,3,3
53,2,2,3,3,3,3,3,3,3,3
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
