,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,0,3,4,4,6,6,7,6,7,6
1,0,0,4,5,6,4,4,5,5,5
2,0,3,4,0,6,6,7,6,7,6
3,0,3,3,4,5,5,5,3,3,3
4,0,3,4,5,6,6,7,6,7,6
5,2,2,2,0,3,7,6,7,6,7
6,1,1,4,5,6,4,4,5,5,5
7,0,0,4,5,3,4,4,5,5,5
8,0,0,0,5,6,7,8,8,8,8
9,1,3,3,3,4,3,3,4,5,4
10,1,3,3,3,3,7,6,7,6,7
11,1,1,1,1,3,7,6,7,6,7
12,1,0,0,5,3,7,6,7,6,7
13,0,3,4,3,5,5,2,3,10,10
14,2,2,2,2,2,2,2,2,2,11
15,2,2,2,2,2,2,2,2,2,2
16,1,1,1,1,1,1,1,1,1,1
17,2,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2,2,2
20,2,2,2,2,2,2,2,2,2,2
21,2,2,2,2,2,2,2,2,2,2
22,2,2,2,2,2,2,2,2,2,2
23,0,3,3,3,4,3,3,4,4,4
24,0,3,3,3,4,3,3,4,4,4
25,2,2,2,3,2,7,6,7,6,11
26,2,2,2,2,2,2,2,2,10,10
27,2,2,2,4,5,5,5,9,9,9
28,1,1,4,4,5,5,5,3,3,3
29,1,1,1,1,1,1,1,1,1,1
30,2,3,3,4,5,5,5,9,9,9
31,1,1,1,1,1,1,1,1,1,1
32,2,3,4,4,5,5,5,3,3,3
33,2,3,4,4,5,5,5,3,3,3
34,2,3,4,4,5,5,5,3,3,3
35,1,3,4,4,6,6,7,6,7,6
36,1,1,3,5,1,6,8,8,8,8
37,1,1,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1,1,1
43,0,0,3,3,4,3,3,4,4,4
44,1,1,1,1,1,1,1,1,1,1
45,2,2,2,1,1,1,1,1,10,1
46,1,1,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
