,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,
0,0,3,3,3,6,6,6,6,6,6,6,0,
1,2,2,2,4,4,4,2,2,2,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,
3,2,2,2,2,2,2,2,2,2,2,2,2,
4,0,3,3,3,6,6,6,6,6,6,6,0,
5,0,0,4,5,5,5,5,5,5,5,5,1,
6,1,3,3,5,5,5,5,5,5,5,5,1,
7,0,0,4,0,4,4,8,8,8,8,8,1,
8,0,0,4,1,4,5,8,8,8,8,8,1,
9,2,2,2,2,2,2,2,2,2,2,2,2,
10,2,2,2,2,2,2,2,2,2,2,2,2,
11,0,0,0,0,6,0,0,9,9,9,9,4,
12,0,0,4,5,5,5,5,5,5,5,5,1,
13,2,2,2,2,2,2,2,9,2,11,11,2,
14,1,3,3,3,3,3,3,3,3,3,3,1,
15,1,3,3,3,3,3,3,3,3,3,3,1,
16,0,0,0,5,5,7,7,7,7,7,7,3,
17,1,3,3,3,3,3,3,3,3,3,3,1,
18,1,3,3,3,3,3,3,3,3,3,3,1,
19,0,0,0,0,0,7,8,9,10,11,11,1,
20,1,3,3,3,3,3,3,3,3,3,3,1,
21,1,3,3,3,3,3,3,3,3,3,3,1,
22,1,3,3,3,3,3,3,3,3,3,3,1,
23,2,2,2,2,2,2,2,2,2,2,2,2,
24,0,0,0,0,0,0,0,0,0,0,0,0,
25,0,3,3,3,5,3,8,8,3,3,12,1,
26,1,3,3,3,3,3,3,3,3,11,3,1,
27,0,0,0,0,0,7,8,9,10,11,11,1,
28,1,1,4,4,4,4,4,1,1,1,1,3,
29,1,1,1,1,1,1,1,1,1,1,1,3,
30,2,2,2,2,2,2,2,2,2,2,2,2,
31,2,2,2,2,2,2,2,2,2,2,2,2,
32,2,2,2,2,2,2,2,2,2,2,2,2,
33,2,2,2,2,2,2,2,2,2,2,2,2,
34,1,2,2,2,2,2,2,2,2,2,2,2,
35,0,3,3,3,6,6,6,6,6,6,6,0,
36,1,1,1,1,1,1,8,8,8,8,8,3,
37,0,0,1,1,1,1,1,1,9,10,10,3,
38,1,1,4,5,5,7,7,7,7,1,1,3,
39,2,1,4,5,5,7,7,7,7,7,7,3,
40,1,1,4,4,4,4,4,4,4,4,4,3,
41,0,0,4,4,4,4,4,4,4,4,4,3,
42,1,1,4,4,4,4,4,4,4,4,4,3,
43,1,1,4,4,4,4,4,4,4,4,4,3,
44,1,1,1,1,1,1,1,1,1,1,1,3,
45,0,1,4,5,5,7,7,7,7,7,7,3,
46,1,1,1,1,1,1,1,1,1,10,10,3,
47,1,1,1,1,1,1,1,1,1,1,1,3,
48,1,1,1,1,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,1,1,1,1,1,3,
50,1,1,4,4,4,4,4,4,4,4,12,3,
51,1,1,4,1,5,7,7,7,7,7,12,3,
52,0,0,0,0,0,3,3,9,9,9,9,4,
53,1,1,1,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.1789848151339275,0.2706127960448326,0.2479736792947617,0.2522924772612905,0.2451683061842571,0.2499930367596618,0.2502931493356459,0.2547044520375116,0.25737448246632766,0.2457986425558272,0.24143179197582224,0.3053114621755227,
NMI,0.4424163973182107,0.71274106016848515,0.64231153380932648,0.60199036129484951,0.62175552295082404,0.67281588852918661,0.73686957784254536,0.71869538528953159,0.7515387816488488,0.73129974309749024,0.70450132341344163,1.0,
Silhoutte,0.03185551,0.11377147,0.10709928,0.12973427,0.17253616,0.18015275,0.21023286,0.26422864,0.30043152,0.31470336,0.33416213,0.15728338,
