,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Louvain,LPA
0,1,3,4,4,4,0,0
1,0,3,3,4,6,0,1
2,2,3,4,4,4,0,0
3,2,2,2,2,2,1,2
4,2,2,4,4,4,0,0
5,2,2,4,2,2,0,3
6,2,3,3,5,6,1,1
7,2,2,2,2,2,1,2
8,1,1,1,1,1,2,3
9,2,2,4,4,6,1,4
10,2,2,2,2,2,1,2
11,1,1,1,1,1,2,3
12,2,2,2,2,2,1,5
13,2,2,2,2,2,1,2
14,2,2,2,2,2,1,4
15,2,2,2,2,2,1,5
16,2,2,2,2,2,1,5
17,2,2,2,2,2,1,5
18,2,2,2,2,2,1,5
19,2,2,2,2,2,1,5
20,2,2,2,2,2,1,5
21,2,2,2,2,6,1,1
22,2,2,2,2,2,1,5
23,2,2,2,4,2,1,2
24,2,1,1,1,1,1,2
25,1,1,1,1,1,2,3
26,2,2,2,2,2,1,4
27,1,1,1,1,1,2,3
28,1,3,3,3,3,2,6
29,1,3,3,3,3,2,6
30,2,3,3,3,3,1,4
31,1,3,3,3,3,2,6
32,1,3,3,3,3,2,6
33,1,1,1,1,1,2,3
34,1,1,1,1,1,2,3
35,0,0,4,5,5,2,6
36,1,1,1,5,5,2,7
37,1,1,1,5,5,2,7
38,1,1,1,1,1,2,3
39,1,1,1,1,1,2,3
40,1,1,1,1,1,2,8
41,1,1,1,1,1,2,8
42,1,1,1,1,1,2,8
43,1,1,1,1,1,2,3
44,1,1,1,1,1,2,3
45,1,1,1,1,1,2,3
46,1,1,1,1,1,2,3
47,1,1,1,1,1,2,3
48,1,1,1,1,1,2,3
49,1,1,1,1,1,2,3
50,2,3,3,3,3,2,6
51,2,3,3,3,3,2,6
52,1,3,3,3,3,2,6
53,1,1,1,1,1,2,3
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
Modularity,0.06790473876164327,0.07764464178523306,0.08004032755647085,0.07316339194187961,0.07622160958925471,0.09493313248281021,0.05413784697197792
NMI,0.5998187215862093,0.50207915772457246,0.55341692814055732,0.52882738219655212,0.57494107224797697,1.0,0.60559499021283114
