,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,0,3,3,3,3,3,3,0,0
1,0,3,3,3,3,3,3,0,0
2,0,3,3,3,3,3,3,0,0
3,1,2,4,5,5,5,5,1,1
4,0,3,3,3,3,3,3,0,0
5,1,1,1,1,1,1,1,1,1
6,1,0,3,3,3,7,3,1,2
7,1,1,1,1,1,1,1,1,1
8,0,0,2,2,6,6,6,4,3
9,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1
11,0,0,0,0,0,0,0,4,2
12,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,4
14,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,4
16,2,2,2,1,1,7,7,1,2
17,1,1,1,1,1,1,1,1,4
18,1,1,1,1,1,1,1,1,4
19,1,1,1,1,1,1,1,1,4
20,1,1,1,1,1,1,1,1,4
21,1,1,1,1,1,1,1,1,4
22,1,1,1,1,1,1,1,1,4
23,0,0,0,5,5,5,5,1,3
24,2,2,2,5,5,5,8,4,3
25,99,99,99,99,99,99,99,99,99
26,1,1,1,1,1,1,1,1,4
27,1,1,1,1,1,1,1,1,4
28,1,1,1,1,1,1,1,4,1
29,2,2,2,2,2,2,2,4,5
30,2,2,4,4,4,4,4,4,6
31,2,2,4,4,4,4,4,4,6
32,2,2,4,4,4,4,4,4,6
33,2,2,4,4,4,4,4,4,6
34,0,0,0,0,2,2,2,4,2
35,1,3,3,3,3,3,3,0,0
36,2,0,2,2,6,6,6,4,3
37,99,99,99,99,99,99,99,99,99
38,0,3,3,5,5,7,7,1,2
39,1,0,0,0,5,0,0,4,2
40,2,2,2,2,2,2,2,4,3
41,2,3,2,2,2,2,2,4,3
42,99,99,99,99,99,99,99,99,99
43,2,2,2,5,2,2,8,4,3
44,2,2,2,2,2,2,2,4,3
45,99,99,99,99,99,99,99,99,99
46,2,2,2,2,1,1,1,4,5
47,99,99,99,99,99,99,99,99,99
48,2,3,2,2,6,6,6,4,3
49,2,2,2,4,4,4,4,4,3
50,2,2,2,2,2,2,2,4,5
51,2,2,2,5,5,5,5,4,3
52,1,1,1,1,1,1,1,1,1
53,2,2,2,2,2,2,2,4,5
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
Modularity,0.10866068681433334,0.10191610579822531,0.12055729587516505,0.11924426621675152,0.11264958313729465,0.10841541054306446,0.10767586128297521,0.14170147682049442,0.09025350275970696
NMI,0.46309894174496835,0.46405261749659976,0.52486423864305665,0.59126360031789504,0.5404384529500742,0.5833338653539113,0.54527415293866244,1.0,0.55059064835679683
