,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,1,1,1,1,1,1,1,1,1,1,1,0,0
1,0,0,0,0,0,7,7,7,7,7,7,1,1
2,2,2,2,5,5,5,5,5,5,5,5,1,2
3,2,2,2,2,2,2,2,2,2,2,2,1,2
4,0,0,0,0,0,7,7,7,10,10,10,0,3
5,1,1,1,1,1,1,1,1,1,1,1,0,3
6,0,0,0,0,5,7,7,7,7,7,7,1,1
7,2,3,4,4,4,4,4,4,4,4,4,2,2
8,2,2,2,2,2,2,2,2,2,2,2,1,2
9,1,1,1,1,1,1,1,1,1,1,1,0,0
10,2,2,2,2,2,2,2,2,2,2,2,1,3
11,1,1,1,1,1,1,1,1,1,1,1,0,0
12,2,2,2,2,2,2,2,2,2,2,2,1,2
13,1,1,1,1,1,1,1,1,1,1,1,0,0
14,0,0,3,3,6,6,6,6,6,11,11,3,4
15,2,2,3,3,6,6,6,6,6,6,6,3,4
16,0,0,4,4,4,4,4,9,9,9,9,2,5
17,0,1,3,3,6,6,6,6,6,11,11,3,4
18,1,1,1,1,1,1,1,9,9,9,9,0,5
19,0,0,0,2,2,7,8,8,8,8,8,1,1
20,0,3,3,5,5,5,5,5,5,5,5,1,6
21,1,1,1,1,1,1,1,1,1,1,1,0,0
22,0,0,3,5,5,5,5,5,5,5,5,1,6
23,2,3,4,4,4,4,4,4,4,4,4,2,5
24,0,3,4,4,4,4,4,4,4,4,4,2,5
25,2,2,2,2,2,2,2,2,2,2,2,1,2
26,2,2,2,3,6,6,6,6,6,6,6,3,4
27,2,2,2,2,2,7,8,8,8,8,8,1,1
28,2,2,2,2,2,2,2,2,2,2,2,1,2
29,0,3,3,3,3,3,8,8,8,8,8,2,7
30,2,2,2,2,2,2,2,2,2,2,2,1,2
31,0,3,2,5,5,5,5,5,5,5,5,1,6
32,2,2,2,5,5,5,5,5,5,5,5,1,2
33,2,3,4,2,2,2,2,2,2,2,2,1,2
34,0,3,3,3,3,3,3,3,3,3,3,2,7
35,1,1,1,1,1,1,1,1,1,1,1,0,0
36,1,1,1,1,1,1,1,1,1,1,10,0,3
37,0,0,0,0,0,0,0,0,10,10,12,0,3
38,0,0,0,0,0,0,0,0,10,10,12,2,3
39,0,3,4,4,3,4,4,9,9,9,9,2,7
40,0,3,3,3,3,3,3,3,3,3,3,2,7
41,0,0,0,0,0,0,3,3,0,0,10,2,3
42,0,3,3,3,3,3,3,3,3,3,3,2,7
43,0,0,0,0,0,7,7,7,7,7,7,2,1
44,1,3,3,3,3,3,3,3,3,3,3,2,7
45,0,0,2,0,6,6,6,6,6,6,6,3,4
46,1,3,4,4,6,6,6,6,6,4,4,2,5
47,0,0,3,3,3,3,0,0,0,0,12,2,3
48,0,3,0,0,0,0,3,3,10,10,10,2,3
49,2,3,4,4,4,4,4,4,4,4,4,2,7
50,1,3,3,3,4,4,4,4,4,4,4,2,7
51,0,0,0,0,0,0,0,0,0,11,11,3,3
52,1,1,1,1,1,1,1,1,1,1,1,0,0
53,0,3,4,4,4,4,8,4,4,4,4,2,7
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.10809077179500917,0.13347517220058244,0.15447751793020242,0.16873198731871322,0.17582570819470916,0.1789805627691864,0.17684140316213123,0.16794516898827147,0.16393572809477847,0.16024760358070714,0.1560279374404555,0.20941749167127438,0.15730914353256117
NMI,0.32939473293988408,0.48865000851052276,0.48212958526938049,0.61149374595328576,0.68007697490846197,0.65605329702423421,0.62872167056739903,0.60408488579458086,0.612309692992971,0.65304728079322716,0.62999604604207315,1.0,0.5768437539348702
