,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
0,2,3,3,3,3,3,3,3,3,3,3
1,0,1,1,5,5,3,3,9,9,11,11
2,2,3,3,3,3,3,3,3,3,3,3
3,2,3,4,5,5,7,7,7,7,7,7
4,2,3,3,3,3,3,3,3,3,3,3
5,0,0,0,0,0,0,0,0,0,9,12
6,0,0,0,4,4,4,4,4,4,4,4
7,0,0,1,1,1,1,1,8,1,1,9
8,1,1,1,1,1,1,1,1,1,1,1
9,99,99,99,99,99,99,99,99,99,99,99
10,1,1,1,1,3,1,1,3,3,3,3
11,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1
13,2,2,2,2,2,2,2,9,9,9,9
14,2,2,2,2,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2,2,2,9,9
17,2,2,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2,2,2,2
20,2,2,2,5,2,5,5,5,5,5,5
21,2,2,2,2,2,2,2,2,2,2,2
22,2,2,2,2,2,2,2,2,2,2,2
23,0,3,3,3,0,0,8,8,8,8,8
24,2,3,3,3,3,7,7,7,7,7,7
25,1,1,1,1,1,1,1,1,1,1,1
26,2,2,2,2,5,2,2,9,9,11,11
27,1,1,1,1,1,1,1,1,1,1,1
28,1,1,4,4,4,4,4,4,4,4,4
29,1,1,1,4,4,4,4,4,4,4,4
30,0,0,4,4,4,4,4,4,4,4,4
31,0,0,0,5,5,5,5,5,5,5,5
32,0,0,0,0,5,3,3,3,10,10,10
33,0,3,3,5,5,5,5,5,5,5,5
34,1,1,1,1,1,1,1,1,1,1,1
35,2,3,3,3,3,3,3,3,3,3,3
36,1,1,1,5,1,1,1,1,1,1,1
37,1,3,3,3,3,7,7,3,7,3,7
38,0,0,4,4,4,4,4,4,4,4,12
39,0,0,4,5,0,5,5,5,5,5,12
40,1,3,0,5,6,6,6,6,6,6,6
41,1,1,1,1,6,1,1,1,6,6,6
42,1,3,3,5,6,6,6,6,6,6,6
43,1,1,4,4,6,4,4,4,6,4,4
44,1,1,1,1,6,6,6,6,6,6,6
45,1,1,1,1,6,6,6,6,6,6,6
46,2,3,4,5,5,7,7,7,7,7,7
47,0,3,3,3,3,0,8,8,8,8,8
48,1,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,6,6,1
50,0,0,4,4,4,4,4,4,4,4,4
51,1,1,1,1,1,1,1,1,1,1,1
52,2,3,3,3,3,5,5,5,5,5,5
53,1,1,1,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
