,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,2,2,2,5,5,5,0,0
1,1,1,1,1,1,1,13,1
2,2,2,2,5,5,5,0,0
3,1,1,1,1,1,6,11,1
4,1,2,1,5,5,5,0,0
5,2,2,4,5,5,5,0,0
6,0,3,3,3,3,7,13,2
7,2,3,3,3,3,7,13,2
8,2,1,3,3,3,1,13,2
9,0,0,0,0,6,6,11,3
10,2,3,4,4,4,4,0,4
11,2,3,4,4,4,4,0,4
12,2,3,4,4,4,4,0,4
13,2,1,4,1,6,6,11,1
14,2,2,2,2,2,2,6,5
15,2,2,2,2,2,2,6,5
16,2,3,3,5,6,7,6,3
17,2,2,2,2,2,2,6,5
18,2,2,2,2,2,2,6,5
19,2,2,2,2,2,2,6,5
20,2,2,2,2,2,2,6,5
21,1,1,3,1,1,1,13,1
22,99,99,99,99,99,99,99,99
23,1,3,3,3,3,6,11,6
24,1,1,1,1,1,1,13,1
25,99,99,99,99,99,99,99,99
26,0,2,3,3,3,7,6,2
27,1,1,1,1,1,1,13,7
28,1,1,1,1,1,1,13,7
29,1,1,1,1,1,1,13,7
30,1,1,4,1,6,6,11,1
31,1,1,4,4,4,4,0,1
32,1,1,1,1,1,6,11,1
33,1,1,1,1,1,1,13,7
34,99,99,99,99,99,99,99,99
35,2,2,2,5,5,5,0,0
36,99,99,99,99,99,99,99,99
37,99,99,99,99,99,99,99,99
38,2,3,3,3,6,7,6,3
39,1,3,1,1,3,3,11,6
40,1,3,1,1,1,1,13,7
41,1,1,1,1,1,1,13,7
42,99,99,99,99,99,99,99,99
43,1,3,4,4,5,3,11,6
44,1,3,1,3,3,3,11,6
45,1,3,3,3,3,3,11,6
46,99,99,99,99,99,99,99,99
47,99,99,99,99,99,99,99,99
48,99,99,99,99,99,99,99,99
49,1,3,1,1,3,6,11,6
50,99,99,99,99,99,99,99,99
51,1,1,1,1,1,1,13,7
52,2,2,4,4,4,4,0,4
53,1,3,1,1,1,7,6,6
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
Modularity,0.09210078497155859,0.10632771514185795,0.09489030210529176,0.12134074285239912,0.12246845806827672,0.14118662248558278,0.15916003380006571,0.1315638140382563
NMI,0.25256620051619871,0.35130552211107796,0.37540610170719552,0.49701371276529366,0.54977369192118319,0.79984669769300498,1.0,0.62287837284918846
