,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
0,2,2,4,4,4,4,4
1,1,1,1,1,1,6,6
2,1,3,4,4,4,4,4
3,1,1,1,5,5,5,5
4,2,2,4,4,4,4,4
5,1,1,1,1,1,1,1
6,1,1,1,1,6,6,6
7,1,1,1,1,6,6,6
8,1,1,1,1,6,6,6
9,0,0,4,5,5,5,5
10,1,1,1,1,1,1,1
11,99,99,99,99,99,99,99
12,1,1,1,1,1,1,1
13,1,1,4,5,5,5,5
14,1,1,1,5,5,5,5
15,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1
22,99,99,99,99,99,99,99
23,0,3,4,5,5,5,5
24,1,3,4,5,5,5,5
25,0,3,4,4,6,7,7
26,1,1,1,1,1,1,1
27,2,2,2,2,2,2,2
28,2,2,2,2,2,2,2
29,2,2,2,2,2,2,2
30,0,3,3,3,3,3,3
31,0,3,3,3,3,3,3
32,2,3,3,3,3,6,8
33,0,3,3,3,3,3,3
34,99,99,99,99,99,99,99
35,0,0,4,4,4,4,4
36,99,99,99,99,99,99,99
37,99,99,99,99,99,99,99
38,2,2,2,2,2,2,2
39,2,2,2,2,2,2,2
40,2,2,2,2,2,6,8
41,2,2,2,2,2,6,8
42,2,2,2,2,2,6,8
43,1,1,4,4,6,7,7
44,99,99,99,99,99,99,99
45,99,99,99,99,99,99,99
46,2,2,2,2,2,2,2
47,99,99,99,99,99,99,99
48,2,2,2,2,2,2,2
49,2,2,2,2,2,2,2
50,2,2,2,2,2,2,2
51,2,2,2,2,2,2,2
52,2,2,2,2,2,2,2
53,2,2,2,2,2,2,2
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
