,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,0,1,4,5,5,5,5,5,5,0,
1,0,0,2,4,6,6,6,9,9,0,
2,1,1,1,5,5,5,5,5,5,0,
3,1,3,4,4,4,4,4,4,4,1,
4,0,0,4,5,5,5,5,5,5,0,
5,1,1,1,1,1,1,1,1,1,0,
6,1,1,2,2,6,6,6,9,9,0,
7,1,1,1,1,6,6,6,6,6,0,
8,2,3,2,2,6,6,6,6,6,3,
9,1,3,4,1,1,1,1,1,2,0,
10,1,1,1,1,1,1,1,1,1,0,
11,0,3,2,2,2,2,2,2,10,3,
12,1,1,1,1,1,1,1,1,1,0,
13,1,1,4,4,4,4,1,1,1,1,
14,1,1,1,1,1,1,1,1,1,0,
15,1,1,1,1,1,1,1,1,1,0,
16,1,1,1,1,1,1,1,1,1,0,
17,1,1,1,1,1,1,1,1,1,0,
18,1,1,1,1,1,1,1,1,1,0,
19,1,1,1,1,1,1,1,1,1,0,
20,1,1,1,1,1,1,1,1,1,0,
21,1,1,1,1,1,1,1,1,1,0,
22,1,1,1,1,1,1,1,1,1,0,
23,1,3,4,4,4,4,8,8,8,1,
24,1,3,4,4,4,4,4,4,4,1,
25,1,3,4,4,4,4,4,4,4,1,
26,2,3,4,4,4,4,8,8,8,1,
27,2,3,2,2,2,7,2,2,10,3,
28,2,2,3,3,3,3,3,3,3,2,
29,2,2,3,3,3,3,3,3,3,2,
30,2,2,3,3,3,3,3,3,3,2,
31,2,2,3,3,3,3,3,3,3,2,
32,2,2,3,3,3,3,3,3,3,2,
33,2,2,3,3,3,3,3,3,3,2,
34,2,2,3,3,3,3,3,3,3,2,
35,1,1,1,5,5,5,5,5,5,0,
36,2,3,2,2,6,6,6,6,6,3,
37,0,0,0,0,6,0,0,0,9,3,
38,2,3,2,2,2,2,2,2,2,3,
39,2,3,2,2,2,7,2,2,2,3,
40,1,3,2,2,2,7,7,7,7,3,
41,2,3,2,2,2,7,7,7,7,3,
42,1,3,2,2,2,7,7,7,7,3,
43,2,3,4,4,4,4,4,4,4,1,
44,2,3,2,2,2,2,2,2,2,3,
45,2,3,4,4,4,4,8,8,8,1,
46,1,1,1,1,1,1,1,1,1,0,
47,0,3,2,2,2,2,2,2,10,3,
48,2,3,2,2,2,2,2,2,10,3,
49,2,2,3,3,3,3,3,3,3,2,
50,1,3,4,4,4,4,8,8,8,1,
51,0,0,2,4,4,4,4,4,4,3,
52,0,0,0,0,0,2,4,4,10,3,
53,2,1,2,2,2,2,2,2,2,3,
54,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,
Modularity,0.08303504899831582,0.09883119060955517,0.1264301022825367,0.1341967604555543,0.13727761253408646,0.12844807922003812,0.12379393752070535,0.12254126791200316,0.11330050891134481,0.15190198489472573,
NMI,0.39842263049341997,0.6103155167290063,0.77581928033910663,0.76741188410931704,0.76772160114489363,0.74901105590140227,0.68377783585135632,0.689778218062718,0.64153258003105373,1.0,
Silhoutte,0.09836743,0.12045148,0.16655899,0.20455909,0.21108896,0.23340522,0.2597181,0.28390715,0.27389742,0.17793577,
