,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,0,1
2,1,1,1,1,1,1,0,1
3,1,1,1,1,1,1,2,2
4,1,1,1,1,1,1,0,0
5,1,1,1,1,1,1,0,3
6,1,1,1,1,1,1,0,1
7,1,1,1,1,1,1,0,3
8,1,1,1,1,1,1,0,2
9,1,1,1,1,1,1,0,1
10,1,1,1,1,1,1,0,3
11,1,1,1,1,1,1,0,2
12,1,1,1,1,1,1,0,3
13,1,1,1,1,1,1,0,1
14,1,1,1,1,1,1,0,3
15,1,1,1,1,1,1,0,1
16,1,1,1,1,1,1,0,3
17,1,1,1,1,1,1,0,3
18,1,1,1,1,1,1,0,3
19,1,1,1,1,1,1,0,3
20,1,1,1,1,1,1,0,1
21,1,1,1,1,1,1,0,3
22,1,1,1,1,1,1,0,3
23,2,2,2,2,2,2,3,4
24,0,0,4,4,6,7,1,5
25,1,1,4,4,6,7,1,5
26,0,0,4,4,4,4,3,5
27,2,3,3,3,3,3,2,2
28,2,2,2,2,2,2,2,2
29,2,2,2,2,2,2,3,4
30,0,3,3,3,3,3,2,6
31,0,3,3,3,3,3,2,6
32,0,3,3,3,3,3,2,6
33,0,3,3,3,3,3,2,6
34,2,2,2,2,3,3,3,5
35,1,1,1,1,6,6,0,0
36,2,2,2,2,2,2,3,2
37,0,0,0,0,4,6,3,5
38,2,2,2,2,2,2,3,5
39,2,2,2,2,2,2,3,7
40,2,2,4,5,5,5,3,8
41,1,1,4,5,5,5,3,8
42,1,1,4,5,5,5,3,8
43,0,0,4,4,4,4,3,5
44,2,2,2,2,2,2,3,7
45,2,2,2,2,2,2,3,7
46,2,2,2,2,2,2,3,4
47,2,2,2,2,2,2,3,7
48,2,2,2,2,2,2,3,4
49,2,2,2,2,2,2,3,4
50,2,2,2,2,2,2,3,4
51,2,2,2,2,4,4,3,5
52,1,1,1,1,6,6,0,5
53,2,2,2,2,2,2,3,4
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
Modularity,0.12607628518361907,0.12629609949786821,0.13612200809220448,0.137001135322862,0.12527838917085002,0.12548646244985834,0.15690250368548125,0.05961630381215374
NMI,0.53731135805179486,0.63872492118591595,0.74631659660959182,0.74295351695899048,0.67223662044794996,0.67182772558793746,1.0,0.56219143904299473
