,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,1,2,4,4,1,6,8,8,8,8,8,4,0
1,2,0,3,5,6,7,7,7,5,7,7,0,1
2,2,1,1,1,1,6,1,1,6,6,6,4,2
3,1,2,1,1,6,6,1,1,6,9,10,4,2
4,1,2,2,2,6,2,8,8,8,8,8,4,0
5,0,0,0,0,0,0,0,0,1,10,12,0,0
6,0,0,0,5,5,5,5,5,7,5,12,1,0
7,0,2,2,2,2,1,6,6,10,11,11,3,0
8,0,2,2,2,2,1,6,6,10,11,11,3,0
9,1,2,1,1,1,6,1,1,6,6,6,4,2
10,2,1,1,1,1,6,1,1,6,1,6,4,2
11,1,1,1,1,2,1,6,6,10,1,9,3,2
12,1,1,1,1,1,6,1,1,6,6,6,4,2
13,0,3,3,3,3,3,3,3,3,3,3,0,1
14,2,2,4,4,4,4,4,4,4,4,4,2,0
15,2,3,3,3,3,3,3,3,3,3,3,0,1
16,0,3,3,3,3,3,3,3,3,3,3,0,1
17,2,3,3,3,3,3,3,3,3,3,3,0,1
18,2,3,3,3,3,3,3,3,3,3,3,0,1
19,2,3,3,3,3,3,3,7,3,3,3,0,1
20,0,2,2,2,6,2,2,2,2,2,2,4,0
21,2,3,3,3,3,3,3,3,3,3,12,0,1
22,2,3,3,3,3,3,3,3,3,3,3,0,1
23,1,2,1,1,6,6,5,5,7,9,10,4,2
24,1,1,1,1,1,6,1,1,6,6,6,4,2
25,0,1,1,1,2,1,6,6,10,1,9,3,0
26,2,3,3,5,6,7,7,7,5,7,7,0,1
27,2,1,1,1,3,3,6,6,3,1,1,3,2
28,1,1,1,5,5,5,5,5,7,5,5,1,1
29,1,1,1,5,5,5,5,5,7,1,5,1,1
30,1,2,3,5,5,5,5,5,7,5,5,1,1
31,2,2,2,2,6,2,2,2,2,2,2,4,0
32,1,2,1,1,6,5,5,9,7,1,1,3,0
33,1,2,2,2,6,2,2,2,2,2,2,4,0
34,1,1,1,1,2,5,6,6,10,9,10,3,2
35,1,2,1,1,1,6,8,8,8,8,8,4,0
36,0,3,2,2,2,1,6,6,10,11,11,3,0
37,1,1,1,1,1,6,1,1,6,6,6,4,2
38,0,0,0,5,5,5,5,5,7,5,5,1,0
39,2,0,2,2,2,2,2,2,2,2,2,4,0
40,2,2,4,4,4,4,4,4,4,4,4,2,0
41,2,1,1,1,4,7,7,7,6,1,7,2,2
42,2,2,4,4,4,4,4,4,4,4,4,2,0
43,2,1,3,5,5,7,7,7,5,7,7,1,1
44,2,1,4,4,4,4,4,4,4,4,4,2,2
45,2,1,1,4,5,4,4,4,4,4,4,2,2
46,1,2,1,1,6,6,1,9,9,9,10,4,0
47,0,0,0,0,0,0,0,9,9,9,9,3,0
48,2,1,1,1,1,7,7,7,7,7,7,2,2
49,2,1,1,1,5,6,5,5,7,1,1,2,2
50,2,3,4,5,5,5,5,5,7,5,5,1,1
51,2,1,1,1,5,7,7,7,5,7,7,2,2
52,1,2,2,2,6,2,2,2,2,2,2,4,0
53,1,1,1,1,1,6,1,1,6,1,6,2,2
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.07367711207654892,0.0600546012117183,0.07656398528043801,0.08389445435888175,0.08081130531531677,0.09335335686436963,0.08773237552866173,0.08046021461106764,0.08235173684341122,0.07725522661827433,0.0760490307567561,0.11293808233765716,0.059578526954907673
NMI,0.26463196162852659,0.32924706698089584,0.43337142797862876,0.57185129765570542,0.62611474718299509,0.67189664321909592,0.66048324431590755,0.66558485806953138,0.60789133772819159,0.63362252939973107,0.65955345575463797,1.0,0.39292689246213858
