,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,LPA
0,0,3,3,3,6,6,6,6,6,5,0
1,0,3,3,3,6,6,6,6,6,5,0
2,2,2,2,2,2,2,2,2,2,2,1
3,2,2,2,2,2,2,2,2,2,2,2
4,0,3,3,3,6,6,6,6,6,5,0
5,0,0,0,4,4,4,5,4,4,2,3
6,0,1,1,1,6,6,6,4,4,5,0
7,0,0,0,4,6,6,8,8,8,4,3
8,0,0,4,4,4,7,8,8,8,4,3
9,2,2,2,2,2,2,2,2,2,2,2
10,2,2,2,2,2,2,2,2,2,2,2
11,0,0,1,4,4,4,5,9,9,5,3
12,2,2,2,4,4,4,5,4,4,2,2
13,2,2,2,2,2,2,2,2,2,2,2
14,1,3,3,3,3,3,3,3,3,0,4
15,1,3,3,3,3,3,3,3,3,0,4
16,0,3,3,3,3,3,3,3,10,0,3
17,1,3,3,3,3,3,3,3,3,0,4
18,1,3,3,3,3,3,3,3,3,0,4
19,0,3,3,3,3,3,3,3,3,0,3
20,1,3,3,3,3,3,3,3,3,0,4
21,1,3,3,3,3,4,5,4,4,0,3
22,99,99,99,99,99,99,99,99,99,99,99
23,2,2,2,2,2,7,7,7,7,2,2
24,2,2,2,0,0,7,7,7,7,2,2
25,2,1,3,3,1,3,3,7,1,2,2
26,1,3,3,3,3,3,3,3,3,0,4
27,1,1,1,1,1,1,1,1,1,3,5
28,1,1,1,1,1,1,1,1,1,3,5
29,1,1,1,1,1,1,1,1,1,3,5
30,2,2,2,2,2,2,2,2,2,2,1
31,2,2,2,2,2,2,2,2,2,2,1
32,2,2,2,2,2,2,2,2,2,2,1
33,1,1,1,1,1,1,1,1,1,3,5
34,1,1,1,1,1,1,1,1,1,3,6
35,0,3,4,4,6,6,6,6,6,5,0
36,2,2,4,5,5,7,8,8,8,4,6
37,2,2,4,5,5,5,4,5,5,4,7
38,1,1,1,1,1,1,1,1,1,3,6
39,2,2,4,5,5,5,4,5,5,4,7
40,1,1,1,1,1,1,1,1,1,3,8
41,1,1,1,1,1,1,1,1,1,3,8
42,1,1,1,1,4,1,1,9,9,3,8
43,1,1,1,1,1,1,1,9,9,3,8
44,2,2,4,5,5,5,4,5,5,4,7
45,2,2,4,5,5,5,4,5,5,4,7
46,0,0,4,4,4,7,7,7,10,4,6
47,2,2,4,5,5,5,4,5,5,4,7
48,1,1,1,1,1,1,1,1,1,3,5
49,1,1,1,1,1,1,1,1,1,3,5
50,1,1,1,1,1,1,1,1,1,3,6
51,1,1,1,1,1,7,7,7,7,3,6
52,0,0,0,0,0,0,0,9,9,5,3
53,1,1,1,1,1,1,1,1,1,3,6
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.12501285066472262,0.17387739041290506,0.19535354742755642,0.1995061574719069,0.21180720812286066,0.20997599287447638,0.21314525137374596,0.19552993662619608,0.19171760794948864,0.24030997521275704,0.16238023633653684
NMI,0.62423003894042839,0.66288007452429853,0.74268932022529766,0.70803573408537801,0.75298907602432141,0.72937510913681114,0.76237603886471195,0.74368644935722017,0.71310498735635786,1.0,0.70073203963458019
