,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,2,2,2,5,5,5,0,0
1,1,3,4,4,3,3,0,1
2,2,3,4,4,4,4,0,2
3,1,1,1,1,1,1,0,3
4,2,2,2,5,5,5,0,0
5,0,3,3,5,5,3,0,4
6,1,3,4,4,3,3,0,1
7,0,0,0,0,6,6,0,4
8,1,1,1,1,1,6,0,4
9,1,1,4,4,4,4,0,0
10,1,3,3,3,6,7,0,0
11,1,3,3,3,3,3,0,3
12,0,3,3,3,3,3,0,3
13,1,1,4,4,6,4,0,3
14,2,2,2,2,2,2,1,5
15,2,2,2,2,2,2,1,5
16,2,2,0,0,4,7,1,4
17,2,2,2,2,2,2,1,5
18,2,2,2,2,2,2,1,5
19,2,2,2,2,2,2,1,5
20,2,2,2,2,2,2,1,5
21,2,2,2,2,2,2,1,5
22,1,1,1,1,1,1,1,6
23,0,0,4,4,6,7,0,0
24,0,3,3,3,6,7,0,3
25,1,1,1,1,1,1,2,6
26,2,2,2,2,2,2,1,5
27,1,1,1,1,1,1,2,6
28,1,1,1,1,1,1,2,6
29,1,1,1,1,1,1,2,6
30,2,3,4,4,4,4,0,2
31,1,1,1,1,1,1,2,6
32,0,3,4,4,4,4,0,2
33,1,1,1,1,1,1,2,6
34,1,1,1,1,1,1,2,6
35,1,1,1,1,1,1,2,6
36,1,1,1,1,1,1,2,6
37,1,1,1,1,1,1,2,6
38,1,1,1,1,1,1,2,6
39,1,1,1,1,1,1,2,6
40,1,1,1,1,1,1,2,6
41,1,3,3,5,6,5,2,4
42,1,1,1,1,1,1,2,6
43,99,99,99,99,99,99,99,99
44,1,1,1,1,1,1,2,6
45,1,1,1,1,1,1,2,6
46,1,1,1,1,1,1,2,6
47,99,99,99,99,99,99,99,99
48,1,1,1,1,1,1,2,6
49,1,1,1,1,1,1,2,6
50,1,1,1,1,1,1,2,4
51,1,1,1,1,1,1,2,6
52,1,1,1,1,1,1,2,3
53,1,1,1,1,1,1,2,6
54,99,99,99,99,99,99,99,99
55,1,1,1,1,1,1,2,4
Modularity,0.07098735991509025,0.09123972724923968,0.10049816154990072,0.10239297853867578,0.10176282541595086,0.10711643942948229,0.1304051836747262,0.09535688663732039
NMI,0.47708092129223395,0.53759476526639038,0.5576226420211241,0.61954048855236654,0.58947947590245875,0.62761950023570912,1.0,0.58901273898846107
