,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,0,3,2,2,6,6,6,6
1,0,0,0,5,5,5,5,5
2,2,2,2,2,6,6,6,6
3,2,2,4,4,4,4,4,4
4,0,2,2,2,6,6,6,6
5,2,2,2,2,2,2,2,2
6,1,0,0,5,5,5,5,5
7,1,1,1,5,5,5,5,5
8,2,1,1,1,1,1,8,8
9,2,2,4,4,4,4,4,4
10,2,2,4,4,4,4,4,4
11,2,2,4,4,4,4,4,4
12,2,2,2,2,2,2,2,2
13,2,2,4,4,4,4,4,4
14,2,2,2,2,4,4,4,4
15,2,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2
20,2,2,2,2,2,2,2,2
21,2,2,2,2,2,2,2,2
22,2,2,2,2,2,2,2,2
23,0,3,3,3,3,3,3,3
24,0,3,3,3,3,3,3,3
25,0,0,3,3,3,3,3,3
26,0,3,3,3,3,3,3,3
27,2,2,2,2,2,1,2,2
28,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1
30,1,1,1,1,1,7,7,7
31,0,0,0,0,0,7,7,7
32,0,0,0,0,0,7,7,7
33,2,2,2,2,2,2,2,2
34,1,1,1,1,1,1,1,7
35,1,1,4,4,6,6,6,6
36,1,1,1,1,1,1,8,8
37,1,1,1,1,1,1,1,1
38,2,3,3,3,3,3,1,1
39,1,1,1,1,1,1,1,1
40,2,2,4,5,5,7,7,9
41,2,2,2,5,5,7,7,9
42,2,2,0,5,5,7,7,9
43,1,3,3,3,3,3,3,3
44,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,8
48,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1
50,2,3,3,3,3,3,3,3
51,1,1,1,1,1,1,1,1
52,1,1,2,2,1,1,1,1
53,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
