,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,0,2,4,5,5,5,7,5,5,5,2,0
1,0,0,3,2,5,7,8,8,8,8,0,1
2,0,0,0,5,5,5,5,5,5,5,2,0
3,1,1,3,3,3,3,3,3,3,1,1,3
4,1,2,4,5,5,5,5,5,5,5,2,0
5,1,2,4,1,1,1,1,1,10,5,0,3
6,1,1,3,2,5,7,8,8,8,8,0,1
7,1,1,4,1,1,1,1,1,10,10,0,3
8,0,0,0,3,2,6,6,9,9,9,3,4
9,2,2,4,1,1,1,1,1,1,1,2,3
10,1,1,4,1,1,1,4,4,10,10,0,3
11,0,0,3,3,2,7,7,7,7,7,3,4
12,1,1,1,4,4,4,4,4,4,4,0,1
13,1,3,3,3,3,3,3,3,3,3,1,2
14,1,1,1,4,4,4,4,4,4,4,0,1
15,1,1,1,4,4,4,4,4,4,4,0,1
16,1,2,4,1,1,1,4,4,4,4,0,3
17,1,1,1,4,4,4,4,4,4,4,0,1
18,1,1,1,4,4,4,4,4,4,4,0,1
19,1,1,1,4,4,4,4,4,4,4,0,1
20,1,1,1,4,4,4,4,4,4,4,0,1
21,1,1,1,1,1,7,8,8,8,8,0,1
22,1,1,1,4,4,4,4,4,4,4,0,1
23,0,3,3,3,3,3,3,2,10,10,1,2
24,2,3,3,3,3,3,3,3,3,3,1,2
25,1,3,3,3,3,3,3,3,3,3,1,2
26,1,3,3,3,3,3,3,3,3,3,1,2
27,2,2,4,1,1,1,1,1,1,2,2,0
28,2,2,4,1,1,1,1,1,3,3,3,3
29,2,2,2,2,1,1,5,2,2,2,3,3
30,1,2,4,1,1,1,1,1,1,1,2,3
31,0,0,0,0,0,7,7,7,7,7,3,4
32,0,2,4,1,1,1,1,1,1,1,2,3
33,1,2,4,1,1,1,1,1,1,1,2,3
34,2,2,2,2,6,2,2,6,6,1,2,0
35,2,2,4,5,5,5,5,5,5,5,2,0
36,2,2,2,2,1,1,1,9,9,9,3,0
37,1,1,0,0,2,6,6,9,9,11,3,4
38,1,1,4,0,2,6,6,0,0,11,3,4
39,2,2,2,2,6,2,2,2,2,2,3,4
40,2,3,2,2,6,2,2,6,6,6,3,0
41,0,1,4,0,6,2,2,6,6,6,3,0
42,2,1,2,2,6,2,2,6,6,6,3,0
43,2,3,3,3,3,3,3,3,3,3,1,2
44,2,2,2,2,5,5,5,2,2,2,3,0
45,2,3,3,3,3,3,3,3,3,3,1,2
46,2,2,2,2,5,6,5,2,2,2,3,0
47,1,1,2,2,2,6,6,9,9,9,3,4
48,1,1,2,4,2,6,6,9,9,11,3,4
49,2,2,2,2,5,5,5,2,2,2,3,0
50,2,3,3,3,3,3,3,3,3,3,1,2
51,2,2,2,5,5,5,5,2,2,2,3,0
52,1,0,0,0,6,7,7,7,7,7,3,4
53,2,2,2,2,5,5,5,2,2,2,3,0
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.0659080207868282,0.09170609470010124,0.10668575919879751,0.09345240661298972,0.11214521002421099,0.11873539753201111,0.11614943451303779,0.11469337089175882,0.11136406376551927,0.10721482089442767,0.1426655160353011,0.12066915601975704
NMI,0.18718437676588801,0.41644001019369536,0.54353421738569041,0.51178210632227294,0.52432565159011935,0.54474699745861754,0.59626446147694334,0.64980085825068823,0.68457588348112763,0.6238699556283922,1.0,0.61198937565201583
