,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,1,1,1,5,5,5,1,0
1,0,3,3,3,6,6,0,1
2,1,3,2,5,5,5,1,0
3,2,2,2,2,2,2,0,2
4,1,2,4,5,5,5,1,0
5,2,2,4,2,5,5,1,1
6,2,3,3,3,6,6,0,1
7,2,3,3,3,6,6,0,1
8,1,1,1,1,1,1,2,1
9,2,2,2,2,2,7,0,1
10,2,2,2,2,2,2,0,2
11,1,1,1,1,1,1,2,4
12,2,2,2,2,2,2,0,2
13,2,2,2,2,2,2,0,2
14,2,2,2,2,2,2,0,2
15,2,2,2,2,2,2,0,2
16,2,2,2,2,2,2,0,2
17,2,2,2,2,2,2,0,2
18,2,2,2,2,2,2,0,2
19,2,2,2,2,2,2,0,2
20,2,2,2,2,2,2,0,2
21,2,2,2,3,6,6,0,1
22,2,2,2,2,2,2,0,2
23,2,2,2,2,2,7,0,2
24,2,1,1,1,1,1,2,2
25,1,1,1,1,1,1,2,3
26,2,2,2,2,2,2,0,1
27,1,1,1,1,1,1,2,4
28,1,3,3,3,3,3,2,4
29,1,3,3,3,3,3,2,4
30,2,3,3,3,3,3,0,1
31,1,3,3,3,3,3,2,1
32,1,3,3,3,3,3,2,4
33,1,1,1,1,1,1,2,3
34,1,1,1,1,1,1,2,4
35,0,0,4,4,4,4,1,1
36,0,1,4,4,4,4,2,1
37,1,1,1,4,4,4,2,1
38,1,1,1,1,1,1,2,4
39,1,1,1,1,1,1,2,3
40,1,1,1,1,1,1,2,4
41,1,1,1,1,1,1,2,4
42,1,1,1,1,1,1,2,4
43,1,1,1,1,1,1,2,4
44,1,1,1,1,1,1,2,3
45,1,1,1,1,1,1,2,4
46,2,2,2,2,2,2,0,2
47,1,1,1,1,1,1,2,3
48,1,1,1,1,1,1,2,3
49,1,1,1,1,1,1,2,3
50,2,3,3,3,3,3,2,1
51,2,3,3,3,3,3,2,1
52,1,3,3,3,3,3,2,1
53,1,1,1,1,1,1,2,4
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
Modularity,0.07554440154221992,0.07622897216708426,0.07485232370452503,0.08224450618955324,0.08883634962606142,0.08175527830838972,0.09867081945555567,0.06412284942701854
NMI,0.50238424090173006,0.52188183438464475,0.56346480268651256,0.59182849231932588,0.69624746212190414,0.67255393619852721,1.0,0.4845690987218339
