,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,2,2,4,5,5,5,5,5
1,99,99,99,99,99,99,99,99
2,2,2,4,5,5,5,5,5
3,1,1,4,4,4,4,4,4
4,2,2,4,5,5,5,5,5
5,0,3,3,3,3,3,3,3
6,1,1,1,1,1,1,1,1
7,1,1,3,1,1,3,3,7
8,1,1,1,1,1,7,1,7
9,1,3,4,4,4,4,4,4
10,2,2,1,1,1,1,1,1
11,0,3,0,0,5,7,8,8
12,1,1,1,1,1,1,1,1
13,1,1,1,5,6,6,6,6
14,0,3,3,3,3,3,3,3
15,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1
20,1,1,4,4,4,4,4,4
21,1,1,1,1,1,1,1,1
22,1,3,4,4,4,4,4,4
23,0,3,3,3,3,3,3,3
24,2,2,2,2,2,2,2,2
25,2,2,2,2,2,2,2,2
26,0,0,1,5,6,6,6,6
27,2,3,3,3,3,3,3,3
28,1,3,4,4,4,4,4,4
29,2,3,3,3,3,3,3,3
30,1,1,4,4,4,4,4,4
31,1,1,4,4,4,4,4,4
32,1,1,4,4,4,4,4,4
33,1,1,4,4,4,4,4,4
34,1,1,4,4,4,4,4,4
35,0,3,3,5,5,5,5,5
36,2,2,2,2,2,7,7,7
37,2,2,2,2,2,7,7,9
38,2,2,2,2,2,7,7,9
39,2,2,2,2,2,2,7,9
40,2,2,2,2,2,2,2,2
41,2,2,2,2,2,2,2,2
42,2,2,2,2,2,2,2,2
43,0,0,0,0,0,5,0,7
44,2,2,2,2,2,2,2,2
45,0,3,3,5,6,6,6,6
46,1,3,3,3,3,1,8,8
47,2,2,2,2,2,7,7,7
48,2,2,2,2,2,2,2,2
49,2,2,2,2,2,2,2,2
50,2,2,2,2,2,2,6,6
51,2,3,3,3,3,3,3,3
52,2,2,2,2,5,3,2,2
53,2,2,2,2,2,2,7,9
54,0,0,0,0,0,2,0,0
55,99,99,99,99,99,99,99,99
