,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,LPA
0,2,2,2,2,2,2,2,2,2,0,0
1,2,2,2,2,2,7,7,7,7,0,1
2,2,2,2,2,2,2,2,2,2,0,0
3,2,3,3,3,3,3,3,3,3,1,2
4,2,2,2,2,2,2,2,2,2,0,0
5,2,2,2,2,2,2,2,2,2,0,0
6,0,0,0,4,6,7,7,7,7,1,1
7,0,3,4,4,6,6,6,6,6,0,1
8,0,0,4,4,6,6,6,6,6,0,1
9,2,3,3,3,3,3,3,3,3,1,2
10,2,3,3,3,3,3,3,3,3,1,2
11,2,2,2,2,2,2,2,2,2,0,0
12,0,3,4,4,6,7,7,7,7,1,1
13,2,3,3,3,3,3,3,3,3,1,2
14,2,3,3,3,3,3,3,3,3,1,2
15,2,2,3,5,5,5,5,5,5,1,3
16,0,2,2,5,5,5,5,5,5,1,3
17,2,2,2,5,5,5,5,5,5,1,3
18,2,2,2,5,5,5,5,5,5,1,3
19,0,0,0,5,5,5,5,9,9,1,3
20,0,2,4,4,4,4,4,4,4,1,4
21,2,3,3,5,5,7,7,7,7,1,1
22,2,2,2,5,5,5,5,5,5,1,5
23,2,3,3,3,3,3,3,3,3,1,5
24,1,3,3,3,3,3,3,3,3,2,5
25,1,1,1,1,1,1,1,1,1,2,5
26,2,2,3,5,5,5,5,5,5,1,3
27,1,1,1,1,1,1,1,1,1,2,5
28,1,1,1,1,1,1,1,1,1,2,6
29,1,1,1,1,1,1,1,1,1,2,6
30,1,1,1,1,4,4,1,4,4,1,5
31,0,0,4,4,4,4,4,4,4,1,4
32,0,0,4,4,4,4,4,4,4,1,4
33,1,2,2,2,2,2,2,2,2,0,5
34,1,1,1,1,1,1,1,1,1,2,7
35,2,2,2,2,2,2,2,2,2,0,0
36,1,1,1,1,1,6,6,6,6,2,7
37,1,1,1,1,1,1,8,8,8,2,8
38,1,1,1,1,1,1,1,1,1,2,7
39,1,1,1,1,1,1,1,1,1,2,7
40,1,1,1,1,1,1,1,1,1,2,7
41,1,1,1,1,1,1,1,1,1,2,7
42,1,1,1,1,1,1,1,1,1,2,7
43,1,1,1,1,1,1,1,1,1,2,7
44,1,1,1,1,1,1,1,1,1,2,7
45,1,1,1,1,1,1,1,1,1,2,7
46,0,0,0,0,6,4,8,8,8,2,8
47,99,99,99,99,99,99,99,99,99,99,99
48,1,0,2,5,5,5,1,4,4,2,3
49,1,1,1,1,1,1,1,1,1,2,6
50,1,1,1,1,1,1,1,1,1,2,6
51,1,1,1,1,1,1,1,1,1,2,6
52,0,0,0,0,0,0,0,9,10,0,0
53,1,1,1,1,1,1,1,1,1,2,6
54,99,99,99,99,99,99,99,99,99,99,99
55,1,1,1,1,1,1,1,1,1,2,6
Modularity,0.15026094700133014,0.15490179383596675,0.15806720132144236,0.17756143445543263,0.18076213716320144,0.17341874427481335,0.16865935382900704,0.16419026244334564,0.16432934161299326,0.19862036656315935,0.121493206903284
NMI,0.47032267126187288,0.43807831653068169,0.45635189129981368,0.58973995765785259,0.63172612845592813,0.5926692278212069,0.60593010346758691,0.59359611459833839,0.60748464237600219,1.0,0.53170914626936383
