,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,0,0,4,4,4,4,8,8,8,8
1,0,0,0,5,6,6,6,6,6,6
2,2,1,1,1,1,1,1,8,8,1
3,1,1,1,1,1,3,3,3,1,1
4,0,0,4,4,4,4,8,8,8,8
5,1,3,3,3,3,3,3,3,3,3
6,0,0,0,5,6,6,6,6,6,6
7,1,3,3,5,6,6,6,6,6,6
8,1,3,3,3,3,3,3,3,10,10
9,1,1,1,1,5,5,5,1,1,1
10,2,1,1,1,1,1,1,1,1,1
11,1,3,3,3,3,3,3,3,3,3
12,2,2,4,4,4,4,8,9,2,11
13,1,3,3,3,3,3,3,3,10,10
14,1,1,1,1,1,1,1,1,1,1
15,2,2,2,2,2,2,2,2,9,2
16,2,2,2,2,2,2,8,9,2,11
17,2,2,2,2,2,2,2,9,2,2
18,2,2,2,2,2,2,2,2,9,2
19,2,2,2,2,2,2,2,9,2,11
20,2,2,2,2,2,2,2,2,9,9
21,2,2,2,5,6,2,2,2,0,2
22,2,2,2,2,2,2,2,2,9,9
23,2,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1,1,1
26,0,0,4,4,4,4,4,4,4,4
27,1,3,3,3,3,3,3,3,3,3
28,1,3,3,3,3,3,3,3,3,3
29,1,3,3,3,3,3,3,3,3,3
30,2,1,1,5,5,5,5,5,5,5
31,2,3,3,5,5,5,5,5,5,5
32,0,1,1,5,5,5,5,5,9,9
33,0,1,1,5,5,5,5,5,5,5
34,0,0,0,0,0,0,0,0,0,0
35,2,1,1,1,1,1,1,1,1,1
36,0,3,3,3,3,3,3,3,10,10
37,1,3,3,3,1,1,1,1,1,1
38,0,2,2,2,2,7,8,9,8,0
39,1,3,3,3,3,3,3,3,3,3
40,0,0,0,0,0,7,7,7,7,7
41,1,0,0,0,0,7,7,7,7,7
42,1,0,0,0,3,7,7,7,7,7
43,1,1,4,4,4,4,4,4,4,4
44,1,3,3,3,3,3,3,3,3,3
45,0,0,4,4,4,4,4,4,4,4
46,1,1,1,1,1,1,1,1,1,1
47,1,3,3,3,3,3,3,3,3,3
48,1,3,3,3,3,3,3,3,3,3
49,1,3,3,3,3,3,3,3,3,3
50,1,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1,1,1
53,2,1,1,1,1,1,1,1,1,3
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
