,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
0,1,2,4,4,1,6,8,8,8,8,8
1,2,0,3,5,6,7,7,7,5,7,7
2,2,1,1,1,1,6,1,1,6,6,6
3,1,2,1,1,6,6,1,1,6,9,10
4,1,2,2,2,6,2,8,8,8,8,8
5,0,0,0,0,0,0,0,0,1,10,12
6,0,0,0,5,5,5,5,5,7,5,12
7,0,2,2,2,2,1,6,6,10,11,11
8,0,2,2,2,2,1,6,6,10,11,11
9,1,2,1,1,1,6,1,1,6,6,6
10,2,1,1,1,1,6,1,1,6,1,6
11,1,1,1,1,2,1,6,6,10,1,9
12,1,1,1,1,1,6,1,1,6,6,6
13,0,3,3,3,3,3,3,3,3,3,3
14,2,2,4,4,4,4,4,4,4,4,4
15,2,3,3,3,3,3,3,3,3,3,3
16,0,3,3,3,3,3,3,3,3,3,3
17,2,3,3,3,3,3,3,3,3,3,3
18,2,3,3,3,3,3,3,3,3,3,3
19,2,3,3,3,3,3,3,7,3,3,3
20,0,2,2,2,6,2,2,2,2,2,2
21,2,3,3,3,3,3,3,3,3,3,12
22,2,3,3,3,3,3,3,3,3,3,3
23,1,2,1,1,6,6,5,5,7,9,10
24,1,1,1,1,1,6,1,1,6,6,6
25,0,1,1,1,2,1,6,6,10,1,9
26,2,3,3,5,6,7,7,7,5,7,7
27,2,1,1,1,3,3,6,6,3,1,1
28,1,1,1,5,5,5,5,5,7,5,5
29,1,1,1,5,5,5,5,5,7,1,5
30,1,2,3,5,5,5,5,5,7,5,5
31,2,2,2,2,6,2,2,2,2,2,2
32,1,2,1,1,6,5,5,9,7,1,1
33,1,2,2,2,6,2,2,2,2,2,2
34,1,1,1,1,2,5,6,6,10,9,10
35,1,2,1,1,1,6,8,8,8,8,8
36,0,3,2,2,2,1,6,6,10,11,11
37,1,1,1,1,1,6,1,1,6,6,6
38,0,0,0,5,5,5,5,5,7,5,5
39,2,0,2,2,2,2,2,2,2,2,2
40,2,2,4,4,4,4,4,4,4,4,4
41,2,1,1,1,4,7,7,7,6,1,7
42,2,2,4,4,4,4,4,4,4,4,4
43,2,1,3,5,5,7,7,7,5,7,7
44,2,1,4,4,4,4,4,4,4,4,4
45,2,1,1,4,5,4,4,4,4,4,4
46,1,2,1,1,6,6,1,9,9,9,10
47,0,0,0,0,0,0,0,9,9,9,9
48,2,1,1,1,1,7,7,7,7,7,7
49,2,1,1,1,5,6,5,5,7,1,1
50,2,3,4,5,5,5,5,5,7,5,5
51,2,1,1,1,5,7,7,7,5,7,7
52,1,2,2,2,6,2,2,2,2,2,2
53,1,1,1,1,1,6,1,1,6,1,6
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
