,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,1,1,1,5,5,5,1,
1,0,3,3,3,6,6,0,
2,1,3,2,5,5,5,1,
3,2,2,2,2,2,2,0,
4,1,2,4,5,5,5,1,
5,2,2,4,2,5,5,1,
6,2,3,3,3,6,6,0,
7,2,3,3,3,6,6,0,
8,1,1,1,1,1,1,2,
9,2,2,2,2,2,7,0,
10,2,2,2,2,2,2,0,
11,1,1,1,1,1,1,2,
12,2,2,2,2,2,2,0,
13,2,2,2,2,2,2,0,
14,2,2,2,2,2,2,0,
15,2,2,2,2,2,2,0,
16,2,2,2,2,2,2,0,
17,2,2,2,2,2,2,0,
18,2,2,2,2,2,2,0,
19,2,2,2,2,2,2,0,
20,2,2,2,2,2,2,0,
21,2,2,2,3,6,6,0,
22,2,2,2,2,2,2,0,
23,2,2,2,2,2,7,0,
24,2,1,1,1,1,1,2,
25,1,1,1,1,1,1,2,
26,2,2,2,2,2,2,0,
27,1,1,1,1,1,1,2,
28,1,3,3,3,3,3,2,
29,1,3,3,3,3,3,2,
30,2,3,3,3,3,3,0,
31,1,3,3,3,3,3,2,
32,1,3,3,3,3,3,2,
33,1,1,1,1,1,1,2,
34,1,1,1,1,1,1,2,
35,0,0,4,4,4,4,1,
36,0,1,4,4,4,4,2,
37,1,1,1,4,4,4,2,
38,1,1,1,1,1,1,2,
39,1,1,1,1,1,1,2,
40,1,1,1,1,1,1,2,
41,1,1,1,1,1,1,2,
42,1,1,1,1,1,1,2,
43,1,1,1,1,1,1,2,
44,1,1,1,1,1,1,2,
45,1,1,1,1,1,1,2,
46,2,2,2,2,2,2,0,
47,1,1,1,1,1,1,2,
48,1,1,1,1,1,1,2,
49,1,1,1,1,1,1,2,
50,2,3,3,3,3,3,2,
51,2,3,3,3,3,3,2,
52,1,3,3,3,3,3,2,
53,1,1,1,1,1,1,2,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.07554440154221992,0.07622897216708426,0.07485232370452503,0.08224450618955324,0.08883634962606142,0.08175527830838972,0.09867081945555567,
NMI,0.50238424090173006,0.52188183438464475,0.56346480268651256,0.59182849231932588,0.69624746212190414,0.67255393619852721,1.0,
Silhoutte,0.15089374,0.1333617,0.1817038,0.29429451,0.29685793,0.28801303,0.2343464,
