,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
0,1,3,3,3,6,6,6,6,10,10,10
1,0,3,3,3,6,6,6,6,6,6,6
2,2,3,4,5,5,5,5,5,5,5,5
3,2,2,4,5,5,5,5,5,6,6,6
4,0,3,1,3,6,6,6,6,10,10,10
5,0,0,3,4,4,4,4,4,4,4,4
6,1,1,1,3,6,6,6,6,6,6,6
7,0,0,4,4,4,7,7,7,7,7,7
8,0,0,4,4,4,7,7,7,7,7,7
9,2,2,2,5,5,6,6,9,9,9,9
10,2,2,2,4,4,4,4,4,4,4,4
11,0,0,3,4,4,4,4,4,4,4,4
12,1,1,2,4,4,4,4,4,4,4,4
13,2,2,2,5,5,4,4,9,9,9,9
14,1,3,3,3,3,3,3,3,3,3,3
15,1,3,3,3,3,3,3,3,3,3,3
16,0,0,0,0,0,0,8,8,8,8,8
17,1,3,3,3,3,3,3,3,3,3,3
18,1,3,3,3,3,3,3,3,3,3,3
19,0,3,3,0,3,3,3,0,0,0,0
20,0,3,3,4,3,3,3,3,3,11,11
21,1,1,1,4,4,4,4,4,4,4,4
22,99,99,99,99,99,99,99,99,99,99,99
23,2,2,2,5,6,6,7,9,9,9,9
24,2,2,2,0,6,6,6,9,9,9,9
25,2,2,2,5,5,1,1,9,6,6,6
26,1,3,3,3,3,3,3,3,3,3,3
27,1,1,1,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1,1,1
30,2,2,4,5,5,5,5,5,5,5,5
31,2,2,4,5,5,5,5,5,5,5,5
32,2,2,4,5,5,5,5,5,5,5,5
33,1,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,1,1,1
35,0,3,1,3,6,6,6,6,10,10,10
36,2,2,4,2,2,7,7,7,7,7,7
37,2,2,2,2,2,2,2,2,2,2,2
38,1,1,1,1,1,1,1,1,1,1,1
39,2,2,2,2,2,2,2,2,2,2,2
40,1,1,1,1,1,1,1,1,3,1,3
41,0,0,0,0,4,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0
43,0,1,1,1,6,6,6,5,10,10,10
44,2,2,2,2,2,2,2,2,2,2,2
45,2,2,2,2,2,2,2,2,2,2,2
46,1,1,4,1,1,1,8,8,8,8,8
47,2,2,2,2,2,2,2,2,2,2,2
48,1,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1
50,0,0,0,0,0,0,4,4,8,11,11
51,1,1,1,1,1,1,1,1,1,1,1
52,0,0,0,0,0,0,0,0,0,8,12
53,1,1,1,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
