,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,LPA
0,2,3,3,3,3,3,3,3,3,3,3,3,2,0
1,1,1,1,4,3,3,8,8,8,8,9,9,0,0
2,0,3,3,3,3,3,3,3,3,3,3,3,2,0
3,2,3,4,3,6,6,6,6,9,6,6,6,2,0
4,2,3,3,3,3,3,3,3,3,3,3,3,2,0
5,1,1,1,1,1,1,1,1,1,1,1,1,4,1
6,0,3,3,5,5,5,5,5,5,5,5,13,1,2
7,0,0,4,4,4,4,4,4,10,11,11,4,3,3
8,1,1,4,4,4,4,4,4,4,4,4,4,3,3
9,2,3,3,3,6,6,3,9,9,6,6,6,2,0
10,1,3,3,3,3,3,3,3,3,3,3,3,2,1
11,1,1,4,4,4,4,4,4,4,4,4,4,3,3
12,1,1,1,3,4,4,4,4,4,4,4,4,3,1
13,2,2,2,2,2,2,2,8,8,9,8,2,0,4
14,2,2,2,3,1,1,1,1,1,1,1,1,4,5
15,2,2,2,2,2,2,2,2,2,2,2,2,0,4
16,2,2,2,2,2,2,2,2,2,2,8,2,0,4
17,2,2,2,2,2,2,2,2,2,2,2,2,0,4
18,2,2,2,2,2,2,2,2,2,2,2,2,0,4
19,2,2,2,2,2,2,2,2,2,2,2,2,0,1
20,0,2,4,4,4,7,7,7,7,7,7,7,2,2
21,2,2,2,2,2,2,2,2,2,2,2,13,0,4
22,2,2,2,2,2,2,2,2,2,2,2,2,0,4
23,0,0,0,0,6,6,8,8,8,6,12,12,2,2
24,2,3,3,3,3,6,3,9,9,6,6,6,2,0
25,1,1,4,4,4,4,4,4,4,4,4,4,3,3
26,2,2,2,2,2,2,8,8,8,8,9,2,0,4
27,1,1,1,1,4,4,4,4,4,4,4,8,3,1
28,0,3,3,5,5,5,5,5,5,5,5,5,1,6
29,1,3,3,5,5,5,5,5,5,5,5,5,1,6
30,0,3,3,5,5,5,5,5,5,5,5,5,1,6
31,0,0,4,4,6,7,7,7,7,7,7,7,2,2
32,0,0,0,0,2,3,6,6,6,10,10,8,0,2
33,0,3,4,4,6,7,7,7,7,7,7,7,2,2
34,1,1,1,1,4,4,4,4,4,4,4,4,3,1
35,2,3,3,3,3,3,3,3,3,3,3,3,2,0
36,1,1,4,4,4,4,4,4,4,4,4,4,3,3
37,2,3,1,3,6,6,3,9,9,6,6,6,2,0
38,0,3,3,5,5,5,5,5,5,5,5,5,1,2
39,0,0,4,5,5,7,7,7,7,7,7,7,1,2
40,1,1,3,1,1,1,1,1,1,1,1,1,4,5
41,1,1,1,1,1,4,8,4,4,4,4,10,4,1
42,2,0,3,1,1,1,1,1,1,1,1,1,4,5
43,2,3,1,5,5,5,5,5,5,5,5,5,1,6
44,1,1,1,1,1,1,1,1,1,1,1,1,4,1
45,1,1,1,1,1,1,1,1,1,1,1,10,4,1
46,2,3,4,3,6,6,6,6,9,6,6,6,2,0
47,0,0,0,0,0,0,6,6,0,11,11,11,1,2
48,1,1,1,1,4,4,8,4,4,4,4,10,4,1
49,1,1,1,1,4,4,4,4,4,1,1,10,4,1
50,0,0,3,5,5,5,5,5,5,5,5,5,1,6
51,1,1,1,4,4,4,8,4,4,8,4,10,4,1
52,2,3,3,3,6,7,7,7,7,7,7,7,2,2
53,1,1,1,1,4,4,4,4,4,4,4,10,4,1
54,99,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.07672741380450818,0.11617686114880643,0.0891352602019673,0.12070489591387992,0.13436879504618832,0.13696014744110957,0.12396704865688019,0.12057948347061788,0.12075230867308986,0.11399925809170121,0.1124119061536532,0.11564415495828925,0.15538744987393233,0.11380967406887622
NMI,0.35011485665202952,0.51941999471706768,0.43346208257669788,0.65528562698672832,0.7794235892610939,0.73936360037031501,0.6982739252785668,0.69002531385493249,0.72374969585394877,0.72726187734333114,0.72695981870435455,0.76543535938167329,1.0,0.64332721656701219
