,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,2,2,2,2,2,2,2,2
1,2,2,2,2,6,6,6,6
2,2,2,2,2,2,2,2,2
3,2,3,3,3,3,3,3,3
4,2,2,2,2,2,2,2,2
5,2,2,2,2,2,2,2,2
6,0,0,1,4,6,6,6,6
7,0,0,4,4,6,7,7,7
8,0,0,4,4,6,7,7,7
9,2,3,3,3,3,3,3,3
10,0,3,3,3,3,3,3,3
11,2,2,2,2,2,2,2,9
12,0,3,3,4,6,6,6,6
13,2,3,3,3,3,3,3,3
14,2,3,3,5,5,5,5,5
15,2,2,2,5,5,5,5,5
16,2,2,2,5,5,5,5,5
17,2,2,2,5,5,5,5,5
18,2,2,2,5,5,5,5,5
19,2,2,4,5,5,5,8,8
20,2,2,4,4,4,4,4,4
21,2,3,3,5,6,6,6,6
22,2,2,2,5,5,5,5,5
23,1,3,3,3,3,3,3,3
24,1,3,3,3,3,3,3,3
25,1,3,3,3,3,3,3,3
26,2,2,3,5,5,5,5,5
27,2,2,2,2,2,2,2,2
28,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1
30,1,1,4,4,4,4,4,4
31,0,0,4,4,4,4,4,4
32,0,1,4,4,4,4,4,4
33,1,2,2,2,2,2,2,2
34,1,1,1,1,1,1,1,1
35,2,2,2,2,2,2,2,2
36,1,1,1,1,1,1,1,1
37,1,1,1,1,6,7,8,8
38,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1
46,0,0,0,0,6,7,8,8
47,99,99,99,99,99,99,99,99
48,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1
52,0,0,0,0,0,0,0,9
53,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99
55,1,1,1,1,1,1,1,1
