,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,LPA
0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,0,0,0,0,0,7,7,7,7,7,7,7,2,1
2,0,3,3,5,5,5,5,5,5,5,5,5,2,2
3,0,3,3,3,3,3,3,3,3,3,3,3,2,2
4,0,0,0,0,0,0,0,7,10,10,0,0,0,3
5,1,1,1,1,1,1,1,1,1,1,1,1,0,3
6,0,0,0,0,0,7,7,7,7,7,7,7,2,1
7,2,2,2,2,2,2,2,2,2,2,2,2,3,4
8,2,3,3,3,3,3,3,3,3,3,3,3,3,2
9,1,1,1,1,1,1,1,1,1,1,1,1,0,0
10,0,0,0,3,6,6,7,7,10,10,12,12,2,3
11,1,1,1,1,1,1,1,1,1,1,1,1,0,0
12,0,0,0,3,6,4,7,3,10,10,12,12,2,3
13,1,1,1,1,1,1,1,1,1,1,1,1,0,0
14,1,1,0,0,6,6,6,6,6,11,11,11,1,1
15,1,3,3,3,6,6,6,6,6,6,6,6,1,1
16,1,3,3,3,3,7,8,8,8,8,8,8,1,5
17,1,3,3,4,6,6,6,6,6,11,11,11,1,1
18,0,3,3,3,3,6,8,8,8,8,8,8,1,5
19,0,0,0,3,3,3,3,9,9,9,9,9,3,2
20,0,3,4,5,5,5,5,5,5,5,5,5,2,6
21,1,1,1,1,1,1,1,1,1,1,1,1,0,0
22,0,3,4,5,5,5,5,5,5,5,5,5,2,6
23,2,2,2,2,2,2,2,2,2,2,2,2,3,4
24,2,2,2,2,2,2,2,2,2,2,2,2,3,4
25,0,3,3,3,3,3,3,3,3,3,3,3,2,2
26,1,3,3,3,6,6,6,6,6,6,6,6,1,1
27,2,3,3,3,3,3,3,9,9,9,9,9,3,2
28,1,1,3,1,1,1,1,1,1,1,1,1,0,2
29,2,2,4,4,4,4,4,9,9,9,9,9,3,2
30,2,3,3,3,3,3,3,3,3,3,3,3,2,2
31,0,3,3,5,5,5,5,5,5,5,5,5,2,6
32,0,3,3,5,5,5,5,5,5,5,5,5,2,6
33,2,2,2,2,2,3,2,2,2,2,2,2,3,2
34,2,2,4,4,4,4,4,4,4,4,4,4,3,7
35,1,1,1,1,1,1,1,1,1,1,1,1,0,0
36,1,1,1,1,1,1,1,1,1,1,1,1,0,7
37,1,1,1,1,0,0,0,0,10,10,10,10,0,7
38,0,0,4,4,0,0,0,0,10,10,10,10,3,7
39,0,3,3,3,3,7,8,8,8,8,8,8,1,5
40,2,2,4,4,4,4,4,4,4,4,4,4,3,7
41,0,0,4,4,4,4,4,4,4,4,4,13,3,7
42,2,2,4,4,4,4,4,4,4,4,4,4,3,7
43,0,0,0,0,0,7,7,7,7,7,7,7,2,1
44,2,2,4,4,4,4,4,4,4,4,4,4,3,7
45,0,0,0,0,6,6,6,6,6,6,6,6,1,1
46,1,3,3,2,6,6,2,2,2,2,2,2,1,4
47,0,0,4,0,0,4,4,0,0,0,0,13,3,7
48,2,2,2,0,0,0,2,3,3,10,3,3,3,7
49,2,2,2,2,2,2,2,2,2,2,2,2,3,4
50,2,2,2,2,2,2,2,2,2,2,2,2,3,4
51,0,0,0,0,0,0,0,0,10,11,11,11,1,1
52,1,1,1,1,1,1,1,1,1,1,1,1,0,0
53,2,2,2,2,2,2,2,2,2,2,2,2,3,2
54,99,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.15444823272543712,0.17549784579955421,0.1579779791902423,0.17864189978103878,0.18697537830777303,0.1880867657865227,0.2050034954587631,0.1953995233172914,0.19715050966074465,0.1895975470940538,0.1926949814821812,0.18863567193552724,0.23735545221248086,0.19561935307652864
NMI,0.53969633981031995,0.52150574265069394,0.48034521515032352,0.49839576979704192,0.54000893279084994,0.59790970829035628,0.67266981132847348,0.63573311081686923,0.62079529075712359,0.63698632307029457,0.65455867050028727,0.6624128335247369,1.0,0.52944532880614481
