,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,0,0,4,4,4,4,4,4,4,4,1,0
1,0,0,0,5,5,5,5,5,5,5,3,1
2,2,3,3,3,6,6,6,6,6,6,1,0
3,1,3,1,3,1,1,1,6,6,1,3,2
4,0,0,4,4,4,4,4,4,4,4,1,0
5,1,1,1,1,1,1,1,1,1,1,3,2
6,0,0,0,5,5,5,5,5,5,5,3,1
7,1,1,1,5,5,5,5,5,5,5,3,2
8,1,1,1,1,1,1,1,1,10,10,3,3
9,2,3,3,3,3,3,6,6,6,6,1,4
10,2,3,3,3,6,6,6,6,6,6,1,4
11,1,1,1,1,1,1,1,1,1,1,3,2
12,2,2,4,4,4,4,2,2,2,2,0,5
13,1,1,1,1,1,1,1,1,1,11,3,2
14,1,3,3,3,6,6,6,6,6,11,0,4
15,2,2,2,2,2,2,2,2,2,11,0,5
16,2,2,2,2,2,2,2,2,2,2,0,5
17,2,2,2,2,2,2,2,2,2,2,0,5
18,2,2,2,2,2,2,2,2,2,11,0,5
19,2,2,2,2,2,2,2,2,2,2,0,5
20,0,2,2,2,3,3,8,8,8,8,0,5
21,2,0,0,0,5,5,5,5,5,5,0,3
22,0,2,2,2,3,4,8,8,8,8,0,5
23,2,3,3,3,6,6,6,6,6,6,1,6
24,2,3,3,3,6,6,6,6,6,6,1,6
25,1,3,3,3,6,6,6,1,1,6,3,2
26,0,0,4,4,4,4,4,9,9,9,2,7
27,1,1,1,1,1,1,1,1,1,1,3,2
28,1,1,1,1,1,1,1,1,1,1,3,2
29,1,1,1,1,1,1,1,1,1,1,3,2
30,2,3,3,3,3,3,3,3,3,3,1,4
31,2,3,3,3,3,3,3,3,3,3,1,7
32,0,3,3,3,3,3,8,8,8,8,0,4
33,0,3,3,3,3,3,3,3,3,3,1,7
34,0,0,0,0,0,0,0,0,0,0,1,3
35,2,3,3,3,6,6,6,6,6,6,1,0
36,0,1,1,1,1,1,1,9,10,10,3,3
37,2,1,1,1,6,6,6,6,6,6,1,3
38,0,2,2,2,0,3,3,3,4,0,1,3
39,1,1,1,1,1,1,1,1,1,1,3,2
40,0,2,2,5,5,7,7,7,7,7,2,8
41,1,0,0,5,5,7,7,7,7,7,2,8
42,1,0,0,5,5,7,7,7,7,7,2,8
43,2,0,4,4,4,4,4,9,9,9,2,7
44,1,1,1,1,1,1,1,1,1,1,3,2
45,0,0,4,4,4,4,8,9,9,9,2,7
46,2,3,3,3,6,6,6,6,6,6,1,6
47,1,1,1,1,1,1,1,1,1,1,3,3
48,1,1,1,1,1,1,1,1,1,1,3,2
49,1,1,1,1,1,1,1,1,1,1,3,2
50,2,3,3,3,6,6,6,6,6,6,1,6
51,2,3,3,3,6,6,6,6,6,6,1,6
52,1,3,3,3,6,6,6,6,6,6,1,6
53,1,1,1,1,6,6,6,6,6,6,1,6
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.0501591063853295,0.11738934392142028,0.11339461656704744,0.11735407991499994,0.11316197431991162,0.10778356250864443,0.11703088933131042,0.11283732174638295,0.11468755521363265,0.10571010218956624,0.13689929633679965,0.10765771578143701
NMI,0.28501664762767409,0.44790609155579941,0.45307947407429056,0.48229784274721449,0.54855372711095474,0.58567415825736768,0.6498149583360614,0.66802132323787289,0.67915254639661082,0.67330487111042914,1.0,0.63763377864526016
