,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,2,2,2,2,2,2,2,2,0,0
1,2,2,2,2,6,6,6,6,0,1
2,2,2,2,2,2,2,2,2,0,0
3,2,3,3,3,3,3,3,3,2,2
4,2,2,2,2,2,2,2,2,0,0
5,2,2,2,2,2,2,2,2,0,0
6,0,0,1,4,6,6,6,6,2,1
7,0,0,4,4,6,7,7,7,1,1
8,0,0,4,4,6,7,7,7,1,1
9,2,3,3,3,3,3,3,3,2,3
10,0,3,3,3,3,3,3,3,2,2
11,2,2,2,2,2,2,2,9,0,1
12,0,3,3,4,6,6,6,6,2,1
13,2,3,3,3,3,3,3,3,2,2
14,2,3,3,5,5,5,5,5,2,4
15,2,2,2,5,5,5,5,5,2,4
16,2,2,2,5,5,5,5,5,2,4
17,2,2,2,5,5,5,5,5,2,4
18,2,2,2,5,5,5,5,5,2,4
19,2,2,4,5,5,5,8,8,2,3
20,2,2,4,4,4,4,4,4,2,3
21,2,3,3,5,6,6,6,6,2,4
22,2,2,2,5,5,5,5,5,2,5
23,1,3,3,3,3,3,3,3,2,2
24,1,3,3,3,3,3,3,3,2,2
25,1,3,3,3,3,3,3,3,2,3
26,2,2,3,5,5,5,5,5,2,4
27,2,2,2,2,2,2,2,2,0,5
28,1,1,1,1,1,1,1,1,3,6
29,1,1,1,1,1,1,1,1,3,6
30,1,1,4,4,4,4,4,4,2,5
31,0,0,4,4,4,4,4,4,2,3
32,0,1,4,4,4,4,4,4,2,3
33,1,2,2,2,2,2,2,2,0,5
34,1,1,1,1,1,1,1,1,3,5
35,2,2,2,2,2,2,2,2,0,0
36,1,1,1,1,1,1,1,1,3,7
37,1,1,1,1,6,7,8,8,3,8
38,1,1,1,1,1,1,1,1,3,6
39,1,1,1,1,1,1,1,1,3,7
40,1,1,1,1,1,1,1,1,3,7
41,1,1,1,1,1,1,1,1,3,7
42,1,1,1,1,1,1,1,1,3,7
43,1,1,1,1,1,1,1,1,3,7
44,1,1,1,1,1,1,1,1,3,7
45,1,1,1,1,1,1,1,1,3,7
46,0,0,0,0,6,7,8,8,3,8
47,99,99,99,99,99,99,99,99,99,99
48,1,1,1,1,1,1,1,1,3,7
49,1,1,1,1,1,1,1,1,3,6
50,1,1,1,1,1,1,1,1,3,7
51,1,1,1,1,1,1,1,1,3,6
52,0,0,0,0,0,0,0,9,0,1
53,1,1,1,1,1,1,1,1,3,6
54,99,99,99,99,99,99,99,99,99,99
55,1,1,1,1,1,1,1,1,3,6
Modularity,0.12605204163238706,0.1370879419390597,0.13198742054671256,0.1609252012176131,0.15660422925208334,0.1561568670942735,0.15353526047735586,0.15030458255298132,0.1795393071799753,0.09485935233827406
NMI,0.40583572301043253,0.55477169909084312,0.63653324206564854,0.76646586006662587,0.68081624240225491,0.73151487546104499,0.72838294093195355,0.72273384912455307,1.0,0.58937549057424299
