,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Louvain,LPA
0,2,3,3,3,2,0
1,99,99,99,99,99,99
2,99,99,99,99,99,99
3,2,2,2,2,9,1
4,2,3,3,3,2,0
5,2,2,4,4,2,2
6,0,3,3,3,2,0
7,0,3,3,3,2,0
8,99,99,99,99,99,99
9,2,2,2,2,9,1
10,2,2,4,4,9,2
11,99,99,99,99,99,99
12,2,2,4,4,12,2
13,1,1,1,5,12,3
14,1,1,1,5,12,3
15,99,99,99,99,99,99
16,1,1,1,5,12,3
17,99,99,99,99,99,99
18,1,1,1,5,12,3
19,1,1,1,5,12,3
20,99,99,99,99,99,99
21,1,1,1,5,12,3
22,99,99,99,99,99,99
23,2,2,2,2,9,1
24,99,99,99,99,99,99
25,99,99,99,99,99,99
26,1,1,1,5,12,3
27,1,1,1,1,13,4
28,1,1,1,1,13,4
29,1,1,1,1,13,4
30,2,2,2,2,9,1
31,2,2,2,2,9,1
32,2,2,2,2,9,1
33,2,2,2,2,9,1
34,99,99,99,99,99,99
35,2,2,3,5,2,1
36,99,99,99,99,99,99
37,99,99,99,99,99,99
38,1,1,1,1,13,5
39,99,99,99,99,99,99
40,1,1,1,1,13,4
41,99,99,99,99,99,99
42,99,99,99,99,99,99
43,2,2,2,2,9,1
44,99,99,99,99,99,99
45,99,99,99,99,99,99
46,99,99,99,99,99,99
47,99,99,99,99,99,99
48,99,99,99,99,99,99
49,1,1,1,1,13,5
50,1,1,1,1,13,4
51,1,1,1,5,13,5
52,1,1,1,5,13,5
53,2,2,2,2,9,1
54,99,99,99,99,99,99
55,99,99,99,99,99,99
Modularity,0.039671107198990835,0.05649531503641729,0.05687538835451209,0.08090492431108096,0.11840318738037768,0.08338740708675457
NMI,0.61254995465049766,0.66388140473055102,0.72845603534220016,0.7119034294314136,1.0,0.76618442836061185
