,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,0,0,0,0,6,6,6,6,6,6,1,0
1,1,3,1,1,5,7,7,7,7,7,0,1
2,1,3,1,1,1,1,1,1,1,1,0,2
3,1,1,2,2,4,4,8,8,8,8,0,1
4,0,0,0,0,6,6,6,6,6,6,1,0
5,1,1,4,4,4,7,7,4,7,4,0,1
6,2,0,4,0,5,7,7,7,7,7,0,1
7,1,1,4,5,5,7,7,7,7,7,0,1
8,1,0,4,5,5,7,2,2,2,2,0,3
9,0,1,2,2,2,2,8,8,8,8,0,1
10,1,3,2,2,2,2,8,8,8,8,0,1
11,2,2,2,2,2,2,2,2,2,2,1,0
12,1,1,4,4,4,4,4,4,4,4,0,1
13,1,1,2,4,2,2,8,8,8,8,0,1
14,0,0,0,0,0,0,0,9,10,10,0,0
15,1,1,4,4,4,4,4,4,4,4,0,1
16,1,3,4,4,4,4,4,4,4,4,0,1
17,1,3,4,4,4,4,4,4,4,4,0,1
18,1,1,4,4,4,4,4,4,4,4,0,1
19,1,3,4,4,4,4,4,4,4,4,0,1
20,1,3,1,1,1,1,1,1,1,1,0,2
21,1,1,4,4,4,7,7,7,7,7,0,1
22,1,3,1,1,1,1,1,1,4,1,0,2
23,0,1,2,2,2,2,8,8,8,8,0,1
24,2,3,3,3,3,3,3,3,3,3,1,4
25,1,1,4,5,4,7,7,9,10,10,0,0
26,0,1,2,4,6,6,8,9,9,9,0,0
27,2,2,2,2,2,2,2,2,2,4,1,3
28,1,3,4,1,1,2,2,2,2,2,0,3
29,2,2,2,2,3,3,3,3,3,3,1,3
30,1,3,1,1,1,1,1,1,1,1,0,2
31,1,3,1,1,1,1,1,1,1,1,0,2
32,1,3,1,1,1,1,1,1,1,1,0,2
33,1,3,1,1,1,1,1,1,1,1,0,2
34,2,2,3,3,3,3,3,3,3,3,1,4
35,2,2,2,2,6,6,6,6,6,6,1,0
36,2,2,2,2,2,2,2,2,2,2,1,3
37,0,1,0,0,2,2,2,2,0,11,1,0
38,1,1,2,2,2,7,7,2,10,11,1,0
39,2,2,2,2,2,2,2,2,2,11,1,3
40,2,2,4,5,5,5,5,5,5,5,1,5
41,0,1,4,5,5,5,5,5,5,5,1,5
42,0,1,4,5,5,5,5,5,5,5,1,5
43,2,2,3,3,3,3,3,3,3,3,1,4
44,2,2,2,2,2,2,2,2,2,11,1,3
45,0,0,0,0,0,0,0,9,9,9,1,0
46,2,2,3,3,3,3,3,3,3,3,1,4
47,2,2,2,2,2,2,2,2,2,2,1,3
48,2,2,2,2,2,2,2,2,2,2,1,3
49,2,3,1,1,1,1,1,1,1,1,1,3
50,2,2,3,3,3,3,3,3,3,3,1,4
51,2,2,3,3,3,3,3,3,3,3,1,4
52,2,2,3,3,3,3,3,3,3,3,1,4
53,2,2,3,3,3,3,3,3,3,3,1,4
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.16084291377727808,0.13189771941794576,0.1146218094494532,0.1210930421510976,0.1276104866059787,0.12239098212383465,0.14829179435190193,0.15651695572611093,0.14299137001944587,0.14452092524849422,0.20323950014558134,0.1495268904201023
NMI,0.49163065130830941,0.35479944070946795,0.24247682901482587,0.29960831958174733,0.29287395233715779,0.30405870316535122,0.3866319479155918,0.41355144975503794,0.39295850175976244,0.38555740685214729,1.0,0.4494364233210163
