,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,1,1,1,1,1,1,1,0,0
1,1,3,4,4,4,4,8,2,1
2,1,1,1,1,1,1,1,0,0
3,1,1,4,5,5,5,5,1,2
4,1,1,1,1,1,1,1,0,0
5,1,1,1,1,1,1,1,0,3
6,1,1,1,1,1,1,1,0,3
7,1,1,1,1,1,1,1,0,3
8,1,1,1,1,1,7,7,0,1
9,1,1,1,1,1,1,1,0,0
10,1,1,1,1,1,1,1,0,3
11,1,1,1,1,1,1,1,0,3
12,1,1,1,1,1,1,1,0,3
13,1,1,1,1,1,1,1,0,1
14,1,1,1,1,1,1,1,0,3
15,1,1,1,1,1,1,1,0,1
16,1,1,1,1,1,1,1,0,1
17,1,1,1,1,1,1,1,0,3
18,1,1,1,1,1,1,1,0,3
19,1,1,1,1,1,1,1,0,3
20,1,1,1,1,1,1,1,0,3
21,1,1,1,1,1,1,1,0,3
22,1,1,1,1,1,1,1,0,3
23,0,0,4,5,5,5,5,1,2
24,2,2,4,5,5,5,5,2,6
25,1,3,3,3,3,3,3,2,1
26,0,3,3,3,3,3,3,2,5
27,2,2,2,2,2,2,2,2,1
28,2,2,2,2,2,2,2,2,1
29,2,2,2,2,2,2,2,2,6
30,1,1,2,4,4,4,4,2,1
31,0,0,4,4,4,4,4,2,7
32,0,0,4,4,4,4,4,2,7
33,2,2,2,2,2,2,2,2,6
34,2,2,2,2,2,0,0,2,4
35,1,1,1,5,5,5,5,1,1
36,0,0,0,4,6,7,7,2,4
37,2,2,2,2,2,2,2,2,4
38,2,2,2,2,2,2,2,2,6
39,2,2,2,2,2,2,2,2,6
40,1,1,1,1,6,6,6,2,8
41,1,1,1,1,6,6,6,2,8
42,2,2,2,2,2,6,6,2,6
43,1,3,3,3,3,3,3,2,5
44,2,2,2,2,2,2,2,2,6
45,0,3,3,3,3,3,3,2,5
46,0,0,0,0,0,7,8,0,7
47,2,2,2,2,2,2,2,2,4
48,2,2,2,2,2,2,2,2,1
49,2,2,2,2,2,2,2,2,6
50,2,3,3,3,3,3,3,2,5
51,2,3,3,3,3,7,7,2,4
52,1,1,1,1,1,1,1,2,1
53,2,2,2,2,2,2,2,2,6
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
Modularity,0.08365576411999884,0.09887649925615195,0.10136971674213263,0.10249733229833832,0.1120418116828991,0.10492423002134343,0.10456758012801837,0.13386880207636134,0.05562538132923913
NMI,0.36336333984734476,0.432061916294946,0.48623528121024584,0.58474013792569246,0.63754804569887313,0.56714654368169493,0.55014948697983068,1.0,0.48014554654962921
