,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,0,3,3,3,3,3,3,1,0
1,2,3,3,3,3,3,3,1,0
2,99,99,99,99,99,99,99,99,99
3,2,2,4,5,4,3,3,3,1
4,0,3,3,3,3,3,3,1,0
5,1,1,1,1,1,1,8,3,2
6,0,0,0,0,0,0,8,1,2
7,1,1,1,1,1,1,1,3,3
8,1,1,1,1,1,1,1,3,3
9,99,99,99,99,99,99,99,99,99
10,1,1,1,1,1,1,1,3,3
11,1,1,1,1,1,1,1,4,4
12,1,1,1,1,1,1,1,3,3
13,1,1,1,1,1,1,1,3,3
14,1,1,1,1,1,1,1,3,3
15,1,1,1,1,1,1,1,3,4
16,1,1,1,1,1,1,1,3,3
17,1,1,1,1,1,1,1,3,3
18,1,1,1,1,1,1,1,3,3
19,1,1,1,1,1,1,1,3,4
20,0,3,3,5,5,5,5,4,5
21,1,1,1,1,1,1,1,3,3
22,0,3,3,5,5,5,5,4,5
23,2,1,4,5,5,3,6,3,1
24,1,1,1,5,4,6,6,3,1
25,2,2,2,2,2,2,2,6,4
26,2,2,2,2,2,2,2,6,6
27,2,2,2,2,2,2,2,6,6
28,1,1,1,1,1,1,1,3,4
29,2,2,2,2,2,2,2,6,6
30,2,2,2,2,2,2,2,6,4
31,1,3,1,5,5,5,5,4,4
32,1,1,1,1,1,1,1,3,4
33,2,2,2,2,2,2,2,6,6
34,2,2,2,2,2,2,2,6,6
35,0,3,3,3,3,3,3,1,0
36,1,3,4,4,4,4,4,5,2
37,0,3,4,4,4,7,7,5,2
38,0,3,4,4,4,4,4,5,2
39,0,3,4,4,4,4,4,5,2
40,1,1,1,5,6,6,6,4,7
41,1,1,1,1,6,6,6,6,7
42,1,1,3,5,6,6,6,4,7
43,2,2,2,2,2,2,2,6,6
44,2,2,2,2,2,2,2,6,6
45,2,2,2,2,2,2,2,6,6
46,2,2,2,2,2,2,2,6,6
47,0,3,4,4,4,7,7,5,2
48,2,2,2,2,2,2,2,6,6
49,2,2,2,2,2,2,2,6,6
50,2,2,2,2,2,2,2,6,6
51,2,2,2,2,2,2,2,6,6
52,2,2,2,2,2,2,8,6,2
53,2,2,2,2,2,2,2,6,6
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
Modularity,0.08986525325888767,0.11414866284268363,0.1167483780265914,0.1265905551620766,0.13198912018547523,0.13241658571037832,0.12534337138854718,0.14974681925528427,0.11114658741090529
NMI,0.55766308532846065,0.67902965192155618,0.73755823532158271,0.80475826263076566,0.78510683503341328,0.77293352446778729,0.71790402657924002,1.0,0.64986797214311476
