,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,0,0,4,5,5,5,5,5
1,99,99,99,99,99,99,99,99
2,1,1,1,5,5,5,5,5
3,1,1,1,1,1,1,1,1
4,1,1,1,5,5,5,5,5
5,0,0,3,3,4,4,4,4
6,2,2,2,2,2,2,2,2
7,2,2,2,2,2,2,2,2
8,2,2,2,2,2,2,2,2
9,2,2,2,2,2,2,2,2
10,2,2,2,2,2,2,2,2
11,0,3,3,0,0,0,8,8
12,2,2,2,2,2,2,2,2
13,0,3,2,3,6,6,6,6
14,0,0,3,3,4,4,4,4
15,2,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2
20,2,2,4,4,3,3,3,3
21,2,2,2,2,2,2,2,2
22,2,3,4,4,3,3,3,9
23,0,3,3,3,4,4,4,4
24,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1
26,0,3,3,3,6,6,6,6
27,1,1,1,1,1,1,1,1
28,2,3,4,4,3,3,3,3
29,1,3,3,3,4,4,4,1
30,2,2,4,4,3,3,3,3
31,2,3,4,4,3,3,3,3
32,2,3,4,4,3,3,3,3
33,2,3,4,4,3,3,3,3
34,2,2,4,4,3,3,7,7
35,0,0,3,5,5,5,5,5
36,1,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1
39,1,1,1,1,1,7,7,7
40,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1
43,2,2,0,4,5,7,8,8
44,1,1,1,1,1,1,1,1
45,1,1,1,3,6,6,6,6
46,1,1,3,1,1,1,8,1
47,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1
51,1,3,3,3,6,6,6,6
52,1,1,1,1,4,7,7,1
53,1,1,1,1,1,1,1,1
54,1,1,1,1,1,7,8,8
55,99,99,99,99,99,99,99,99
