,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,2,3,3,3,6,2,2,0,0
1,2,3,3,3,6,2,2,0,0
2,2,3,3,3,6,2,2,0,0
3,0,3,3,3,3,3,3,1,1
4,2,2,2,2,6,2,2,0,0
5,1,0,4,4,4,4,4,1,2
6,2,3,3,3,6,2,2,0,0
7,2,3,4,4,6,4,8,0,3
8,0,0,4,4,4,4,8,1,3
9,0,3,3,3,3,3,3,1,1
10,0,0,4,4,4,4,4,1,2
11,0,0,4,4,4,4,4,1,2
12,1,1,4,4,4,4,4,1,2
13,2,1,1,3,3,3,8,1,4
14,2,2,2,2,2,7,7,1,4
15,2,2,2,2,2,7,7,1,4
16,2,2,2,2,2,7,7,1,4
17,2,2,2,2,2,7,7,1,4
18,2,2,2,2,2,7,7,1,4
19,2,2,2,2,2,7,7,1,4
20,2,2,2,2,2,7,7,1,4
21,2,2,2,2,2,7,7,1,4
22,1,1,1,1,1,1,1,3,5
23,0,3,3,3,3,3,3,1,1
24,0,3,3,3,3,3,3,1,1
25,1,1,1,5,5,5,5,2,3
26,2,2,2,2,2,7,8,1,4
27,1,1,1,1,1,1,1,3,5
28,1,1,1,1,1,1,1,3,6
29,1,1,1,1,1,1,1,3,6
30,1,1,1,5,5,5,5,2,7
31,1,1,1,5,5,5,5,2,7
32,1,1,1,5,5,5,5,2,7
33,1,1,1,5,5,5,5,2,7
34,1,1,1,5,5,5,5,2,7
35,2,2,3,3,6,2,2,0,3
36,1,1,1,1,1,1,1,3,6
37,1,1,1,1,6,6,6,3,8
38,1,1,1,1,6,6,6,3,8
39,1,1,1,1,1,1,1,3,6
40,1,1,1,1,1,1,1,3,5
41,1,1,0,1,1,6,6,3,3
42,1,1,1,1,1,1,1,3,5
43,1,1,1,1,1,1,1,3,5
44,1,1,1,1,1,1,1,3,6
45,1,1,1,1,1,1,1,3,6
46,1,1,1,1,1,1,1,3,6
47,1,1,1,1,1,1,1,3,6
48,1,1,1,1,1,1,1,3,6
49,1,1,1,1,1,1,1,3,6
50,1,1,1,1,1,1,1,3,6
51,1,1,1,1,1,1,1,3,5
52,1,1,1,1,1,1,1,3,6
53,1,1,1,1,1,1,1,3,5
54,1,1,1,1,1,1,1,3,5
55,99,99,99,99,99,99,99,99,99
Modularity,0.17634754189376975,0.15488788014749813,0.1749285905285469,0.19265830636983616,0.19923773903620282,0.19571129293872594,0.18717663423594266,0.21681834242071185,0.1528710812731532
NMI,0.57524414913945199,0.52840442393266562,0.53855745809521494,0.74360801374976526,0.80775737105573275,0.80330957397316083,0.78768366133333645,1.0,0.69556337213491737
