,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
0,2,3,3,3,3,3
1,1,2,4,4,6,6
2,1,3,3,3,3,3
3,1,3,4,4,4,4
4,2,3,3,3,3,3
5,1,3,3,3,3,3
6,0,0,0,0,6,6
7,0,0,4,5,5,5
8,0,0,4,5,5,5
9,1,2,4,4,4,4
10,2,2,4,4,4,4
11,2,3,3,3,3,3
12,2,3,3,3,3,3
13,1,3,4,4,4,4
14,2,2,4,4,4,4
15,0,3,3,3,3,5
16,1,1,1,1,1,1
17,1,1,1,1,1,1
18,1,1,1,1,1,1
19,1,1,1,1,1,1
20,1,1,1,1,1,1
21,1,1,1,1,1,1
22,99,99,99,99,99,99
23,1,3,4,4,4,4
24,1,1,1,1,1,1
25,99,99,99,99,99,99
26,0,2,2,2,2,2
27,1,1,1,1,1,1
28,2,2,2,2,2,2
29,2,2,2,2,2,2
30,2,2,2,2,2,2
31,1,3,3,3,3,7
32,0,2,2,2,0,7
33,2,2,2,2,2,2
34,1,1,1,1,1,1
35,2,3,3,3,3,3
36,1,1,1,1,1,1
37,1,1,1,1,1,1
38,2,2,2,2,2,2
39,1,1,1,1,1,1
40,2,2,2,2,2,2
41,2,2,2,2,2,2
42,99,99,99,99,99,99
43,2,2,2,2,2,2
44,2,2,2,2,2,2
45,99,99,99,99,99,99
46,99,99,99,99,99,99
47,99,99,99,99,99,99
48,99,99,99,99,99,99
49,2,2,2,2,2,2
50,2,2,2,2,2,2
51,1,1,4,5,5,5
52,2,3,3,3,3,3
53,1,1,1,1,1,1
54,99,99,99,99,99,99
55,99,99,99,99,99,99
