,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,
0,0,3,3,3,3,7,7,7,7,7,7,0,
1,2,2,4,4,4,4,5,5,5,5,5,3,
2,2,2,2,2,2,2,2,2,2,2,2,2,
3,2,2,2,2,2,2,2,2,2,2,2,2,
4,0,3,3,3,3,7,7,7,7,7,7,0,
5,2,0,0,5,5,5,5,5,5,5,5,2,
6,0,3,3,5,5,5,5,5,5,5,5,1,
7,0,0,4,4,5,5,8,8,8,8,8,4,
8,0,0,4,4,5,5,8,8,8,8,8,4,
9,2,2,2,2,2,2,2,2,2,2,2,2,
10,2,2,2,2,2,2,2,2,2,2,2,2,
11,0,0,0,0,5,0,0,9,9,9,9,4,
12,0,0,0,5,5,5,5,5,5,5,5,1,
13,2,2,2,2,2,2,2,2,2,2,2,2,
14,1,3,3,3,3,3,3,3,3,3,3,1,
15,1,3,3,3,3,3,3,3,3,3,3,1,
16,0,0,0,5,6,6,6,6,6,6,6,3,
17,2,3,3,3,3,3,3,3,3,3,3,1,
18,1,3,3,3,3,3,3,3,3,3,3,1,
19,0,0,0,0,6,6,8,8,9,10,12,1,
20,1,3,3,3,3,3,3,3,3,3,3,1,
21,1,3,3,3,3,3,3,3,3,3,3,1,
22,1,3,3,3,3,3,3,3,3,3,3,1,
23,2,2,2,2,2,2,2,2,2,2,2,2,
24,0,0,0,0,0,0,0,0,0,0,0,0,
25,0,3,3,3,3,6,3,3,3,3,3,1,
26,1,3,3,3,3,3,3,3,3,3,3,1,
27,0,0,0,0,6,6,8,8,9,10,12,1,
28,1,1,4,4,4,1,1,1,1,11,1,4,
29,1,1,1,1,1,1,1,1,1,1,1,4,
30,2,2,2,2,2,2,2,2,2,2,2,2,
31,2,2,2,2,2,2,2,2,10,11,11,2,
32,2,2,2,2,2,2,2,2,2,2,2,2,
33,2,2,2,2,2,2,2,2,2,2,2,2,
34,1,2,2,2,2,2,2,2,10,11,11,2,
35,0,3,3,3,3,7,7,7,7,7,7,0,
36,1,3,1,1,1,1,8,8,8,8,8,4,
37,0,0,1,1,1,1,1,1,10,1,10,4,
38,1,1,1,1,6,1,1,1,1,1,1,4,
39,1,1,1,1,6,6,6,6,6,6,6,4,
40,1,1,4,4,4,4,4,4,4,4,4,3,
41,0,1,4,4,4,4,4,4,4,4,4,3,
42,1,1,4,4,4,4,4,4,4,4,4,3,
43,1,1,4,4,4,4,4,4,4,4,4,3,
44,1,1,1,1,1,1,1,1,1,1,1,4,
45,1,1,4,4,6,6,6,6,6,6,6,3,
46,1,3,1,1,1,1,1,1,10,1,10,4,
47,1,1,1,1,1,1,1,1,1,1,1,4,
48,1,1,1,1,1,1,1,1,1,1,1,4,
49,1,1,1,1,1,1,1,1,1,1,1,4,
50,1,1,4,4,4,4,4,4,4,4,4,3,
51,1,1,1,1,6,6,6,6,6,6,1,4,
52,0,0,0,0,0,0,6,9,9,9,9,4,
53,1,1,1,1,1,1,1,1,1,1,1,4,
54,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.15427520481775853,0.22277861004158947,0.23495189792937274,0.23168939293479676,0.22841605419237773,0.2358952027648768,0.23347128692618527,0.23700597439044205,0.2187764391818774,0.22716062819935964,0.2197438710213023,0.2701081084388867,
NMI,0.35946770216070434,0.51204488125008374,0.6761505070464946,0.68383456358085548,0.63266810776291804,0.7174179501492205,0.72740215546755604,0.73984768560628833,0.69336290360662933,0.72412835948389109,0.74336428219266693,1.0,
Silhoutte,0.02672063,0.09777512,0.11309943,0.12080521,0.13512979,0.2117381,0.2137149,0.2465601,0.27722237,0.30103409,0.33714723,0.14666899,
