,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,0,0,4,4,4,4,4,4,4,4,4,3,0
1,0,0,0,0,4,7,6,8,8,8,8,2,1
2,1,1,4,1,1,1,1,1,1,1,1,3,2
3,2,2,2,2,2,2,2,2,2,2,2,1,3
4,0,0,4,4,4,4,4,4,4,4,4,3,0
5,0,0,0,0,4,7,7,7,7,7,7,0,4
6,0,0,0,0,4,7,6,8,8,8,8,2,1
7,0,0,0,5,5,5,5,8,5,5,5,2,5
8,0,0,0,5,5,5,5,5,5,5,5,2,5
9,0,0,0,0,6,6,8,6,10,10,10,1,6
10,0,1,1,4,4,7,7,7,7,7,12,0,4
11,0,0,0,5,4,7,7,7,7,7,7,0,4
12,1,1,1,0,1,7,7,7,7,7,12,0,4
13,0,0,0,0,0,6,0,0,6,0,0,0,4
14,1,3,3,3,3,3,3,3,3,3,3,0,7
15,1,3,3,3,3,3,3,3,3,3,3,0,7
16,1,3,3,3,3,3,3,3,3,3,3,0,7
17,1,3,3,3,3,3,3,3,3,3,3,0,7
18,1,3,3,3,3,3,3,3,3,3,3,0,7
19,1,3,3,3,3,3,3,3,3,11,11,0,4
20,1,3,3,3,3,3,3,3,3,3,3,0,7
21,1,3,3,3,3,7,7,7,7,7,7,0,4
22,0,3,3,3,3,3,3,3,3,3,3,0,7
23,0,0,0,0,6,6,8,6,10,10,10,1,6
24,1,1,1,1,1,1,1,1,1,1,1,3,2
25,0,3,3,3,3,3,3,3,3,3,3,0,7
26,1,1,1,1,1,1,1,1,1,1,1,3,2
27,0,0,0,0,3,3,0,6,6,11,11,0,4
28,2,2,2,2,2,2,2,2,2,2,2,1,8
29,1,1,1,1,6,6,6,9,9,1,1,3,8
30,2,2,2,2,2,2,2,2,2,2,2,1,3
31,2,2,2,2,2,2,2,2,2,2,2,1,3
32,2,2,2,2,2,2,2,2,2,2,2,1,3
33,2,2,2,2,2,2,2,2,2,2,2,1,3
34,1,2,4,4,6,6,6,9,9,9,9,3,8
35,0,0,4,4,4,4,4,4,4,4,4,3,0
36,0,3,4,5,5,5,5,5,5,5,5,2,5
37,0,0,0,0,0,0,0,8,7,7,12,2,4
38,1,0,4,4,6,6,6,9,9,9,9,3,8
39,1,1,1,4,6,6,6,9,9,6,6,3,8
40,1,1,1,4,6,6,6,9,9,6,6,3,8
41,1,1,4,4,6,6,6,9,9,9,9,3,8
42,1,1,4,4,6,6,6,9,9,6,6,3,8
43,1,1,1,1,1,1,1,1,1,1,1,3,2
44,1,1,1,1,6,6,6,1,6,6,6,3,8
45,1,1,1,1,1,1,1,1,1,1,1,3,2
46,0,0,0,5,5,5,5,5,5,5,5,2,5
47,1,0,4,5,5,5,5,8,6,9,12,2,4
48,1,1,1,1,1,1,1,1,1,1,1,3,2
49,2,2,2,2,2,2,2,2,2,2,2,1,3
50,1,1,1,1,1,1,1,1,1,1,1,3,2
51,1,1,1,1,1,1,1,1,1,1,1,3,2
52,1,1,1,1,4,1,1,7,7,7,7,3,4
53,1,1,1,4,6,6,6,9,9,6,6,3,8
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.11739425296998035,0.18429224536983635,0.18143316941608262,0.1996941138088039,0.20849789135404098,0.21168343054364067,0.2102241809287426,0.2053624655736076,0.20445471606509943,0.19380893898533405,0.19160842626619523,0.2425564508594629,0.20575762138439185
NMI,0.41313676545480477,0.50370238172378679,0.61384715434849801,0.67060025892356401,0.6112731925951933,0.67404164537903832,0.71511931485642111,0.72689104770862722,0.66759719937750928,0.66840474937076422,0.68522462603564438,1.0,0.66897056468577432
