,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,2,3,3,3,3,3,0,0
1,1,2,4,4,6,6,11,1
2,1,3,3,3,3,3,0,2
3,1,3,4,4,4,4,2,3
4,2,3,3,3,3,3,0,0
5,1,3,3,3,3,3,0,2
6,0,0,0,0,6,6,5,4
7,0,0,4,5,5,5,1,5
8,0,0,4,5,5,5,1,5
9,1,2,4,4,4,4,2,3
10,2,2,4,4,4,4,2,3
11,2,3,3,3,3,3,0,2
12,2,3,3,3,3,3,0,2
13,1,3,4,4,4,4,2,3
14,2,2,4,4,4,4,2,3
15,0,3,3,3,3,5,5,4
16,1,1,1,1,1,1,5,6
17,1,1,1,1,1,1,5,6
18,1,1,1,1,1,1,5,6
19,1,1,1,1,1,1,5,4
20,1,1,1,1,1,1,5,6
21,1,1,1,1,1,1,5,6
22,99,99,99,99,99,99,99,99
23,1,3,4,4,4,4,2,3
24,1,1,1,1,1,1,5,6
25,99,99,99,99,99,99,99,99
26,0,2,2,2,2,2,5,4
27,1,1,1,1,1,1,5,4
28,2,2,2,2,2,2,11,7
29,2,2,2,2,2,2,11,7
30,2,2,2,2,2,2,11,7
31,1,3,3,3,3,7,0,2
32,0,2,2,2,0,7,11,2
33,2,2,2,2,2,2,11,7
34,1,1,1,1,1,1,5,6
35,2,3,3,3,3,3,0,0
36,1,1,1,1,1,1,5,6
37,1,1,1,1,1,1,5,6
38,2,2,2,2,2,2,11,1
39,1,1,1,1,1,1,5,6
40,2,2,2,2,2,2,11,7
41,2,2,2,2,2,2,11,1
42,99,99,99,99,99,99,99,99
43,2,2,2,2,2,2,11,7
44,2,2,2,2,2,2,11,7
45,99,99,99,99,99,99,99,99
46,99,99,99,99,99,99,99,99
47,99,99,99,99,99,99,99,99
48,99,99,99,99,99,99,99,99
49,2,2,2,2,2,2,11,7
50,2,2,2,2,2,2,11,7
51,1,1,4,5,5,5,1,1
52,2,3,3,3,3,3,0,0
53,1,1,1,1,1,1,5,2
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
Modularity,0.06589576484564638,0.13676002499372464,0.17513359026149167,0.18007980895063827,0.18379959004175397,0.1823093023280775,0.20990800509854934,0.139656836213467
NMI,0.3549015606077553,0.65695153261011163,0.77991333075321712,0.83221269510184637,0.82663372396234847,0.80754862708789332,1.0,0.76560270821937937
