,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,LPA
0,0,1,1,2,5,5,8,8,8,2,0
1,1,1,4,4,6,6,6,6,6,2,1
2,2,2,2,2,5,5,8,8,8,2,0
3,1,2,4,4,4,7,7,7,7,1,2
4,0,1,3,2,5,5,8,8,8,2,0
5,1,2,2,2,5,5,5,5,10,2,1
6,0,1,4,4,6,6,6,6,6,2,1
7,0,0,4,5,6,6,6,6,5,2,1
8,0,0,0,5,5,5,5,5,5,3,1
9,0,0,4,4,4,4,4,4,4,1,3
10,0,2,2,5,6,6,6,5,10,2,1
11,0,2,2,2,5,5,5,5,10,2,1
12,2,1,1,1,6,6,6,6,6,2,1
13,0,0,4,4,4,4,4,4,4,1,3
14,2,3,3,3,3,3,3,3,3,0,4
15,2,3,3,3,3,3,3,3,3,0,4
16,2,2,3,3,3,3,5,5,10,0,2
17,2,3,3,3,3,3,3,3,3,0,4
18,2,3,3,3,3,3,3,3,3,0,4
19,2,3,3,3,3,3,3,3,3,0,4
20,2,3,3,3,3,3,3,3,3,0,4
21,2,2,2,5,6,6,6,6,6,2,1
22,2,3,3,3,3,3,3,3,3,0,4
23,0,0,4,4,4,4,4,9,9,1,3
24,0,1,4,4,4,4,4,9,9,1,5
25,1,2,1,1,1,7,7,9,9,0,2
26,0,0,4,4,5,4,4,4,4,1,5
27,1,1,1,1,1,7,7,7,7,3,2
28,1,2,2,1,1,7,7,7,7,2,2
29,1,1,1,1,1,1,1,1,1,3,5
30,1,2,2,2,5,7,7,7,7,2,2
31,1,2,2,2,5,7,7,7,7,2,2
32,1,2,2,2,5,7,7,7,7,2,2
33,1,2,2,2,1,7,7,7,7,2,2
34,1,1,4,4,4,7,7,9,9,1,5
35,0,3,3,2,5,5,8,8,8,2,0
36,1,2,1,1,1,5,4,4,5,3,1
37,1,1,1,1,1,1,1,1,1,3,5
38,1,1,1,1,1,7,7,7,7,3,2
39,1,1,1,1,1,1,1,1,1,3,6
40,2,2,2,5,2,2,2,2,2,3,7
41,2,2,2,5,2,2,2,2,2,3,7
42,2,2,2,5,2,2,2,2,2,3,7
43,2,1,1,1,2,1,1,1,1,3,5
44,1,1,1,1,1,1,1,1,1,3,6
45,1,1,1,1,1,1,1,1,1,3,6
46,1,1,1,1,1,1,1,1,1,3,6
47,0,0,0,1,1,0,4,0,4,3,5
48,1,1,1,1,1,1,1,1,1,3,6
49,1,2,1,1,1,1,1,1,1,3,2
50,1,1,1,1,1,1,1,1,1,3,5
51,2,1,1,1,6,1,1,1,1,3,5
52,1,1,1,1,1,1,5,5,10,3,1
53,1,1,1,1,1,1,1,1,1,3,5
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.09933212854488986,0.07562124296000053,0.10447925614953368,0.12957429096496634,0.13206511156918901,0.14206080007576763,0.1323066271539175,0.12424978633471613,0.12717208241894037,0.1692723876488609,0.12575238378639994
NMI,0.24088622717083225,0.33190608079444461,0.560609318436181,0.65861756919349035,0.63402593348147251,0.62496158860450091,0.5560070120984042,0.57750299659422055,0.56632234745679799,1.0,0.50816494823993474
