,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
0,0,0,0,0,6,6,6
1,99,99,99,99,99,99,99
2,0,0,0,0,6,6,6
3,1,1,1,1,1,1,1
4,1,1,1,4,6,6,6
5,2,2,2,5,5,5,5
6,2,2,2,2,2,2,2
7,2,0,4,4,4,4,4
8,0,0,4,4,4,4,4
9,0,3,3,3,3,3,3
10,0,2,2,4,4,4,4
11,0,0,0,0,0,0,0
12,2,2,2,2,2,2,2
13,2,0,4,4,6,7,7
14,0,0,4,5,5,5,5
15,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2
20,2,3,3,3,3,3,3
21,2,2,2,2,2,2,2
22,2,2,2,2,2,2,2
23,0,0,0,5,5,5,5
24,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1
26,0,0,4,4,6,7,7
27,1,1,1,1,1,1,1
28,2,3,3,3,3,3,3
29,1,1,1,5,5,5,1
30,2,3,3,3,3,3,3
31,2,3,3,3,3,3,3
32,2,3,3,3,3,3,3
33,2,3,3,3,3,3,3
34,1,1,1,1,4,4,8
35,0,0,0,5,6,6,6
36,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1
39,1,1,1,1,1,1,8
40,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1
42,99,99,99,99,99,99,99
43,0,0,0,0,0,4,8
44,1,1,1,1,1,1,1
45,1,1,4,4,1,7,7
46,99,99,99,99,99,99,99
47,1,1,1,1,4,4,4
48,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1
52,1,1,1,1,1,1,8
53,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
