,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
0,0,3,3,3,3,3,3
1,0,3,3,3,3,3,3
2,0,3,3,3,3,3,3
3,2,2,2,5,5,5,5
4,0,3,3,3,3,3,3
5,1,1,1,1,1,1,1
6,2,3,3,3,3,3,3
7,1,3,3,5,5,5,5
8,0,0,4,2,6,6,6
9,1,1,1,5,5,5,5
10,1,1,1,5,5,5,5
11,0,0,0,0,0,0,8
12,1,1,1,1,1,1,1
13,1,1,1,5,5,5,5
14,1,1,1,5,5,5,5
15,1,1,1,1,1,1,1
16,2,2,2,1,1,7,7
17,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1
23,0,2,2,5,5,5,5
24,2,2,2,5,5,5,5
25,99,99,99,99,99,99,99
26,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1
28,1,2,1,1,1,1,1
29,2,2,2,2,2,2,2
30,2,2,4,4,4,4,4
31,2,2,4,4,4,4,4
32,2,2,4,4,4,4,4
33,2,2,4,4,4,4,4
34,0,0,0,2,2,2,2
35,1,3,3,3,3,3,3
36,0,0,2,2,6,6,6
37,99,99,99,99,99,99,99
38,0,0,0,0,0,7,7
39,1,0,0,0,0,0,0
40,2,2,2,2,2,2,2
41,2,1,2,2,2,2,2
42,99,99,99,99,99,99,99
43,2,2,2,5,2,2,2
44,2,2,2,2,2,2,2
45,99,99,99,99,99,99,99
46,2,2,2,2,2,6,2
47,99,99,99,99,99,99,99
48,1,3,2,2,6,6,6
49,2,2,2,2,2,2,2
50,2,2,2,2,2,2,2
51,2,2,2,5,5,5,5
52,1,1,1,5,5,5,5
53,2,2,2,2,2,2,2
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
