,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,2,2,4,5,6,6,6,6,6,11,8,1,0
1,0,0,0,3,6,6,2,6,2,2,12,1,1
2,0,0,1,0,6,6,6,6,6,6,6,1,0
3,0,0,4,4,4,4,4,4,4,7,11,4,2
4,2,2,0,5,6,6,6,6,6,6,6,1,0
5,0,0,0,0,0,0,0,0,0,0,7,0,3
6,1,1,1,1,1,1,1,1,1,1,1,3,4
7,1,1,3,3,3,3,3,3,3,3,3,1,5
8,1,3,3,3,3,3,3,3,3,3,3,1,5
9,1,1,1,5,5,7,7,8,7,9,7,1,3
10,1,1,2,2,2,7,6,8,6,11,8,1,6
11,1,1,3,3,3,3,3,3,3,3,3,1,6
12,1,1,3,3,3,7,3,8,3,11,8,1,6
13,0,3,2,2,2,2,8,2,8,8,2,0,7
14,2,2,2,5,5,5,5,5,5,5,5,2,8
15,2,3,2,2,2,2,8,2,8,8,2,0,7
16,2,3,2,2,2,2,8,2,8,8,2,0,7
17,2,3,2,2,2,2,8,2,8,8,2,0,7
18,2,3,2,2,2,2,8,2,8,8,2,0,7
19,2,3,2,2,2,2,8,2,8,8,2,0,7
20,0,0,0,0,0,0,6,9,10,11,8,4,3
21,2,3,2,2,2,2,8,2,8,8,12,0,3
22,2,3,2,2,2,2,8,2,8,8,2,0,7
23,1,1,1,5,5,7,7,8,7,7,11,1,3
24,0,0,0,0,0,7,7,7,9,9,7,1,3
25,0,2,3,3,3,3,3,3,3,3,3,1,5
26,1,1,1,1,1,1,1,1,1,1,1,3,4
27,2,2,2,3,3,3,8,3,8,8,3,1,7
28,1,1,1,1,1,1,1,1,1,1,1,3,4
29,1,1,1,1,1,1,1,1,1,1,1,3,4
30,1,1,1,1,1,1,1,1,1,1,1,3,4
31,2,0,4,4,6,6,4,9,10,10,10,4,2
32,2,3,4,4,4,4,4,4,4,4,4,4,2
33,0,3,3,4,6,6,2,9,10,10,10,4,2
34,0,2,4,4,3,3,3,8,7,7,11,1,2
35,2,0,0,0,6,6,6,6,6,6,6,1,0
36,0,3,3,3,3,3,3,3,3,3,3,1,5
37,0,3,3,3,3,7,7,7,9,9,7,1,3
38,1,1,1,1,1,1,1,1,1,1,1,3,4
39,1,1,1,1,1,1,1,1,1,1,1,3,4
40,2,2,4,5,5,5,5,5,5,5,5,2,8
41,2,2,4,4,5,5,5,5,5,5,5,2,1
42,2,2,4,5,5,5,5,5,5,5,5,2,8
43,1,1,1,1,1,1,1,1,1,1,1,3,4
44,2,2,4,5,5,5,5,5,5,5,5,2,1
45,2,2,4,5,5,5,5,5,5,5,5,2,1
46,0,0,4,4,4,4,4,4,7,7,11,4,2
47,0,0,3,5,0,0,0,4,9,11,9,3,3
48,2,2,4,4,4,4,4,4,4,4,4,4,2
49,2,2,4,4,4,4,4,4,4,4,4,4,2
50,1,1,1,1,1,1,1,1,1,1,1,3,4
51,2,2,3,3,3,3,2,3,2,3,12,2,1
52,0,0,4,4,4,4,4,4,4,4,4,4,2
53,2,2,4,4,4,4,4,4,4,4,4,4,2
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.08110089342595225,0.08743077249724247,0.13273293469643715,0.1517490291623318,0.15511565563882201,0.1582178645080031,0.16204065222106948,0.15335004103484684,0.154593843603825,0.14859661274585767,0.14251143791559934,0.18196226286851483,0.14828951703821527
NMI,0.3447672180086534,0.42213946966613458,0.47013919188345077,0.63431494219187579,0.6795612598107621,0.76313738667384245,0.75086879869701684,0.78687217574392387,0.74350394846234702,0.68964283123593706,0.70822922065409866,1.0,0.67037063187097512
