,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
0,2,2,2,5,6,6,5,5,5
1,0,0,4,4,4,3,3,7,7
2,2,2,4,5,6,6,5,5,5
3,0,0,4,4,4,4,4,4,4
4,2,2,2,5,6,6,5,5,5
5,0,3,3,3,3,7,7,3,3
6,0,3,3,3,3,3,3,7,7
7,0,3,3,3,3,3,3,7,7
8,0,3,3,3,3,3,3,7,7
9,0,0,4,4,4,4,4,8,8
10,0,3,3,3,3,7,7,3,3
11,99,99,99,99,99,99,99,99,99
12,2,3,3,3,3,7,7,3,3
13,0,0,4,5,5,5,6,6,6
14,2,2,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2,2,2
16,2,0,4,0,0,7,7,9,9
17,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2,2
20,2,2,2,2,2,2,2,2,2
21,2,2,2,2,2,2,2,2,2
22,99,99,99,99,99,99,99,99,99
23,0,0,0,5,5,5,8,8,8
24,2,2,2,5,5,5,8,8,8
25,0,0,0,5,5,5,6,6,6
26,2,2,2,2,5,2,6,6,6
27,1,1,1,1,1,1,1,1,10
28,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1
30,2,3,4,4,4,4,4,4,4
31,2,3,4,4,4,4,4,4,4
32,1,1,1,1,1,1,1,1,1
33,2,0,4,4,4,4,4,4,4
34,99,99,99,99,99,99,99,99,99
35,2,2,2,5,6,6,5,5,5
36,99,99,99,99,99,99,99,99,99
37,99,99,99,99,99,99,99,99,99
38,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,9,9
40,1,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1,1
43,0,0,0,5,5,5,6,6,6
44,99,99,99,99,99,99,99,99,99
45,99,99,99,99,99,99,99,99,99
46,1,1,1,1,1,7,7,9,9
47,99,99,99,99,99,99,99,99,99
48,1,3,3,3,3,1,1,9,1
49,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1,1
52,1,3,3,3,3,7,7,9,9
53,1,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
