,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,
0,0,0,0,0,6,6,6,6,6,6,6,2,
1,2,3,3,3,3,7,7,7,7,7,7,1,
2,2,3,3,3,3,3,3,3,3,3,3,1,
3,2,2,2,2,2,2,8,8,8,8,8,0,
4,0,0,0,5,6,6,6,6,6,6,6,2,
5,2,2,2,2,2,2,7,2,2,2,2,0,
6,0,0,2,0,0,7,7,7,7,7,7,0,
7,2,2,4,4,4,7,7,7,7,7,7,0,
8,2,2,2,2,2,7,7,2,2,1,1,0,
9,0,2,1,1,1,1,8,8,8,8,8,0,
10,2,2,3,3,3,3,3,3,3,3,3,1,
11,1,1,1,1,1,1,1,1,1,1,1,3,
12,2,2,2,2,2,2,7,2,2,2,2,0,
13,2,2,2,2,2,2,8,8,8,8,8,0,
14,0,0,0,0,0,0,8,2,2,2,2,0,
15,2,2,2,2,2,2,7,2,2,2,2,0,
16,0,0,4,4,6,4,2,9,9,9,9,0,
17,0,0,4,4,4,4,2,9,9,9,9,0,
18,2,2,2,2,2,2,2,9,10,11,11,0,
19,0,3,4,2,4,2,2,9,10,11,11,1,
20,2,3,3,3,3,3,3,3,3,3,3,1,
21,2,2,2,2,2,7,7,7,7,7,7,0,
22,2,3,3,3,3,3,3,3,3,3,3,1,
23,0,2,4,4,4,4,8,8,8,8,8,0,
24,1,2,4,4,4,4,4,4,4,4,4,3,
25,2,2,2,2,2,7,7,2,2,2,2,0,
26,0,2,2,2,6,6,8,8,9,10,10,0,
27,0,3,1,2,2,2,2,9,10,11,11,1,
28,2,3,3,3,3,3,3,3,3,3,3,1,
29,1,1,1,1,1,1,1,4,4,4,4,3,
30,2,3,3,3,3,3,3,3,3,3,3,1,
31,2,3,3,3,3,3,3,3,3,3,3,1,
32,2,3,3,3,3,3,3,3,3,3,3,1,
33,2,3,3,3,3,3,3,3,3,3,3,1,
34,1,1,4,4,4,4,4,4,4,4,12,3,
35,1,1,1,1,6,6,6,6,6,6,6,3,
36,1,1,1,1,1,1,1,1,1,1,1,3,
37,0,0,0,1,1,1,1,1,1,1,12,3,
38,2,2,1,1,1,1,1,1,1,1,12,3,
39,1,1,1,1,1,1,1,1,1,1,1,3,
40,2,1,2,5,5,5,5,5,5,5,5,3,
41,2,2,2,5,5,5,5,5,5,5,5,3,
42,2,2,2,5,5,5,5,5,5,5,5,3,
43,1,1,4,5,5,5,4,4,4,5,5,3,
44,1,1,1,1,1,1,1,1,1,1,1,3,
45,0,0,0,0,0,0,0,0,9,10,10,3,
46,1,1,4,4,4,4,4,4,4,4,4,3,
47,1,1,1,1,1,1,1,1,1,1,1,3,
48,1,1,1,1,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,5,5,5,5,5,3,
50,1,1,4,4,4,4,4,4,4,4,4,3,
51,1,1,4,4,4,4,4,4,4,4,4,3,
52,1,2,4,4,4,4,4,4,4,4,4,3,
53,1,1,4,4,4,4,4,4,4,4,4,3,
54,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.13692423442449445,0.14902096283732447,0.13287979796323304,0.1457408614225337,0.1336819081768871,0.13758605496097526,0.1584222736419708,0.15510478851492016,0.1516159830099334,0.15007265662366814,0.13656831523893356,0.20400109114118778,
NMI,0.39015869057035518,0.60471790059186492,0.45540238779238174,0.53501098238916078,0.50947451331457638,0.50588115105528397,0.6565747200333153,0.64939092770090001,0.63566509314198882,0.60220429800300301,0.5912528903014288,1.0,
Silhoutte,0.06871839,0.08803913,0.07477544,0.10650864,0.11484545,0.11967984,0.1605762,0.17899892,0.19170968,0.20277214,0.20659633,0.11855054,
