,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,
0,0,3,3,5,5,5,5,5,5,5,0,
1,0,0,0,5,5,7,7,7,7,7,2,
2,0,3,4,5,5,5,5,5,5,5,0,
3,0,3,3,4,3,3,3,3,3,3,2,
4,0,3,4,5,5,5,5,5,5,5,0,
5,2,2,0,4,4,4,4,4,4,4,1,
6,1,1,1,5,5,7,7,7,7,7,2,
7,0,0,4,5,5,7,7,7,7,7,2,
8,0,0,4,5,5,5,8,8,8,8,2,
9,1,3,4,4,6,6,6,6,6,6,1,
10,1,3,4,4,4,4,4,4,4,4,1,
11,1,1,1,4,4,4,4,4,4,11,1,
12,1,1,4,4,4,4,4,4,4,4,1,
13,0,3,4,4,3,3,3,9,9,9,1,
14,2,2,2,2,2,2,2,2,2,2,1,
15,2,2,2,2,2,2,2,2,2,2,1,
16,1,1,1,1,1,1,1,1,1,1,3,
17,2,2,2,2,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,2,2,2,2,1,
20,2,2,2,2,2,2,2,2,2,2,1,
21,2,2,2,2,2,2,2,2,2,2,1,
22,2,2,2,2,2,2,2,2,2,2,1,
23,0,3,4,4,6,6,6,6,6,6,1,
24,0,3,4,4,6,6,6,6,6,6,1,
25,2,2,2,2,2,2,2,2,2,2,1,
26,2,2,2,2,2,2,2,9,9,9,1,
27,2,1,3,3,3,3,3,3,10,10,2,
28,1,1,1,1,1,1,3,3,3,3,2,
29,1,1,1,1,1,1,1,1,1,1,3,
30,2,3,3,3,3,3,3,3,10,10,2,
31,1,1,1,1,1,1,1,1,1,1,3,
32,2,3,3,3,3,3,3,3,3,3,2,
33,2,3,3,3,3,3,3,3,3,3,2,
34,2,3,3,3,3,3,3,3,3,3,2,
35,1,3,4,5,5,5,5,5,5,5,0,
36,1,1,1,5,5,5,8,8,8,8,3,
37,1,1,1,1,1,1,8,8,8,8,3,
38,1,1,1,1,1,1,1,1,1,1,3,
39,1,1,1,1,1,1,1,1,1,1,3,
40,1,1,1,1,1,1,1,1,1,1,3,
41,1,1,1,1,1,1,1,1,1,1,3,
42,1,1,1,1,1,1,1,1,1,1,3,
43,0,0,0,4,6,6,6,6,6,6,1,
44,1,1,1,1,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,1,1,9,9,1,
46,1,1,1,1,1,1,1,1,1,1,3,
47,1,1,1,1,1,1,1,1,1,1,3,
48,1,1,1,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,1,1,1,1,3,
52,1,1,1,1,4,4,1,1,1,11,3,
53,1,1,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.12813631744787296,0.1654664290558974,0.1654252992419371,0.18748538858742608,0.184770243891577,0.18470534149149437,0.18521220064747967,0.1791733745528592,0.17252062915547037,0.1689397059007517,0.20574519501464072,
NMI,0.35993633901974847,0.4807270038448398,0.53364728108748216,0.6434191988003598,0.58872120990651622,0.61409742296005965,0.71375406771787053,0.73274193996445469,0.75675629230473129,0.7257623347377482,1.0,
Silhoutte,0.11385659,0.16680423,0.17749393,0.21820042,0.23627915,0.26633003,0.25993153,0.25405894,0.26377439,0.27636644,0.18822979,
