,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,1,1,1,3,6,6,6,6,6,6
1,0,3,3,3,6,6,6,6,10,11
2,2,3,3,2,2,2,2,2,2,2
3,2,2,2,2,2,2,2,2,10,11
4,0,3,3,3,6,6,6,6,6,6
5,0,0,4,4,4,4,4,4,4,4
6,0,1,1,3,6,6,6,6,6,11
7,0,0,4,4,4,7,7,7,7,7
8,0,0,4,4,4,7,7,7,7,7
9,2,2,2,2,2,2,4,9,9,9
10,2,2,4,4,4,4,4,4,4,4
11,0,0,4,4,4,4,4,4,4,4
12,2,1,4,4,4,4,4,4,4,4
13,2,2,2,2,4,4,4,4,4,4
14,1,3,3,3,3,3,3,3,3,3
15,1,3,3,3,3,3,3,3,3,3
16,0,0,0,0,0,0,8,8,8,8
17,1,3,3,3,3,3,3,3,3,3
18,1,3,3,3,3,3,3,3,3,3
19,0,0,0,0,0,0,0,0,0,10
20,1,3,3,3,3,3,3,3,3,10
21,1,1,4,4,4,4,4,4,4,4
22,99,99,99,99,99,99,99,99,99,99
23,2,2,2,2,6,6,6,9,9,9
24,2,2,2,2,2,6,6,9,9,9
25,2,2,2,2,2,2,2,9,10,11
26,1,3,3,3,3,3,3,3,3,3
27,1,1,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1,1
30,2,2,2,2,2,2,2,2,2,2
31,2,2,2,2,2,2,2,2,2,2
32,2,2,2,2,2,2,2,2,2,2
33,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,1,1
35,0,3,1,3,6,6,6,6,6,6
36,2,2,2,5,5,7,7,7,7,7
37,2,2,2,5,5,5,5,5,5,5
38,1,1,1,1,1,1,1,1,1,1
39,2,2,2,5,5,5,5,5,5,5
40,1,1,1,1,1,1,1,1,1,1
41,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0
43,0,1,0,1,6,6,6,9,9,6
44,2,2,2,5,5,5,5,5,5,5
45,2,2,2,5,5,5,5,5,5,5
46,1,1,1,1,1,1,8,8,8,8
47,2,2,2,5,5,5,5,5,5,5
48,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1
50,0,0,0,0,0,0,8,8,9,10
51,1,1,1,1,1,1,1,1,1,1
52,0,0,0,0,0,0,0,0,9,8
53,1,1,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
