,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,0,3,3,3,3,3,3,3,0,0
1,0,0,0,0,0,0,2,4,0,1
2,2,3,3,3,3,3,3,3,1,2
3,0,3,4,4,4,4,4,4,2,3
4,0,3,3,3,3,3,3,3,0,0
5,1,1,1,1,1,1,1,1,1,4
6,1,1,1,1,1,1,1,1,1,4
7,1,1,1,1,1,1,1,1,1,4
8,1,1,1,5,5,5,5,5,1,5
9,0,3,4,4,4,4,4,4,2,3
10,1,1,3,3,3,3,3,3,1,2
11,2,2,2,2,2,2,2,2,3,6
12,1,1,1,1,1,1,1,1,1,4
13,1,1,1,1,1,1,1,1,1,4
14,1,1,1,1,1,1,1,1,1,4
15,1,1,1,1,1,1,1,1,1,4
16,1,1,1,1,1,1,1,1,1,4
17,1,1,1,1,1,1,1,1,1,4
18,1,1,1,1,1,1,1,1,1,4
19,1,1,1,1,1,1,1,1,1,4
20,1,1,1,1,1,1,1,1,1,4
21,1,1,1,1,1,1,1,1,1,4
22,1,1,1,1,1,1,1,1,1,4
23,2,3,4,4,4,4,4,4,2,3
24,2,2,2,2,2,2,2,9,3,7
25,2,2,2,2,2,2,8,9,3,6
26,1,1,1,1,1,1,1,1,1,4
27,1,1,1,1,1,1,1,1,1,2
28,2,2,2,2,6,6,8,8,3,6
29,2,2,2,2,2,2,2,2,3,8
30,0,3,4,4,6,6,8,8,3,6
31,0,0,0,0,6,6,6,6,3,1
32,0,0,0,5,6,6,6,6,3,1
33,2,2,2,2,2,2,2,2,3,8
34,2,2,2,2,2,2,2,2,3,7
35,0,3,3,3,3,3,3,3,0,0
36,0,0,4,5,5,5,5,5,3,5
37,2,2,2,5,5,2,2,2,3,7
38,2,2,2,2,2,2,2,2,3,7
39,2,2,2,2,2,2,2,2,3,8
40,2,2,2,4,6,7,7,7,3,7
41,0,0,0,4,6,7,7,7,3,7
42,2,2,2,2,2,2,2,2,3,8
43,1,1,1,5,5,7,7,9,3,7
44,2,2,2,2,2,2,2,2,3,8
45,2,2,2,2,2,2,2,2,3,8
46,2,2,2,2,2,2,2,2,3,8
47,0,0,4,5,5,5,5,5,3,5
48,2,2,2,2,2,2,2,2,3,8
49,2,2,2,2,2,2,2,2,3,7
50,2,2,2,2,2,2,2,2,3,8
51,2,2,2,2,2,2,2,2,3,8
52,2,2,2,2,2,2,2,2,3,6
53,2,2,2,2,2,2,2,2,3,8
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.23390194563751712,0.2594110281923161,0.2590845901691602,0.25040303737133845,0.2512232820248438,0.2606384841975259,0.25251523192475384,0.24748837012365335,0.28045312392972827,0.2015425833651767
NMI,0.57612636595878342,0.65050193103048359,0.66579768883610835,0.65803288550727479,0.72086693573813743,0.71816864646173972,0.66100144310796682,0.66257410642127779,1.0,0.68235425383664838
