,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,2,2,2,5,5,5,5,0,0
1,1,1,1,1,1,1,1,11,1
2,1,2,2,5,5,7,7,0,0
3,1,1,1,1,1,1,8,11,1
4,1,3,2,5,5,5,5,0,0
5,2,2,2,5,5,5,5,0,0
6,0,3,3,3,3,3,3,13,2
7,2,3,3,3,3,3,8,13,2
8,2,3,3,3,3,3,1,11,2
9,0,0,0,0,6,6,6,0,3
10,2,2,4,4,4,4,4,0,4
11,2,2,4,4,4,4,4,0,4
12,2,2,4,4,4,4,4,0,4
13,1,3,1,1,6,6,6,0,1
14,2,2,2,2,2,2,2,1,3
15,2,2,2,2,2,2,2,1,3
16,2,3,3,3,3,3,3,1,3
17,2,2,2,2,2,2,2,1,3
18,2,2,2,2,2,2,2,1,3
19,2,2,2,2,2,2,2,1,3
20,2,2,2,2,2,7,7,1,3
21,1,3,3,3,1,1,1,11,1
22,99,99,99,99,99,99,99,99,99
23,1,1,1,1,5,3,6,11,1
24,1,1,1,1,1,1,1,11,1
25,99,99,99,99,99,99,99,99,99
26,0,3,3,3,3,3,3,13,2
27,1,1,1,1,1,1,1,11,5
28,1,1,1,1,1,1,1,11,5
29,1,1,1,1,1,1,1,11,5
30,1,1,1,1,6,7,7,0,1
31,0,0,4,4,6,7,7,0,1
32,1,1,1,1,6,1,1,0,1
33,1,1,1,1,1,1,1,11,5
34,99,99,99,99,99,99,99,99,99
35,1,3,2,5,5,5,5,0,0
36,99,99,99,99,99,99,99,99,99
37,99,99,99,99,99,99,99,99,99
38,2,3,3,5,3,3,3,11,3
39,1,1,1,1,1,1,8,11,1
40,1,1,1,1,1,1,1,11,5
41,1,1,1,1,1,1,1,11,5
42,99,99,99,99,99,99,99,99,99
43,1,1,1,4,5,4,8,11,1
44,1,1,1,1,5,3,8,11,1
45,1,1,1,1,1,1,8,11,1
46,99,99,99,99,99,99,99,99,99
47,99,99,99,99,99,99,99,99,99
48,99,99,99,99,99,99,99,99,99
49,1,1,1,1,1,1,8,11,1
50,99,99,99,99,99,99,99,99,99
51,1,1,1,1,1,1,1,11,5
52,2,2,4,4,4,4,4,0,4
53,1,1,1,1,1,1,1,11,1
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
Modularity,0.08784600903718934,0.10997492830729212,0.13900871382053176,0.12952352168329825,0.12264097380534097,0.11562182660639317,0.1186721493148078,0.15721343481091196,0.13222058771343073
NMI,0.38720120923953238,0.45904868027781981,0.53389688458454732,0.5523111054247517,0.66153124335961844,0.57212548068330815,0.56444120852086221,1.0,0.57283843403430179
