,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
0,0,2,0,5,5,5,5,5,5
1,2,0,4,5,5,7,7,7,8
2,1,3,1,3,5,5,5,5,5
3,1,3,3,3,3,3,3,3,3
4,0,0,0,5,5,5,5,5,5
5,1,1,1,1,1,1,1,1,1
6,2,2,4,5,5,7,7,7,8
7,0,0,0,5,6,6,6,6,6
8,1,1,1,5,6,6,6,6,6
9,1,3,3,3,3,3,3,3,3
10,2,2,0,5,5,5,5,5,5
11,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1
13,1,3,2,2,2,2,2,2,7
14,1,1,1,1,1,1,1,1,1
15,1,3,3,3,3,3,3,3,3
16,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1
19,1,3,3,3,3,3,3,3,3
20,1,1,1,1,1,1,1,1,1
21,0,0,4,5,5,7,7,7,8
22,1,3,3,3,3,3,3,3,10
23,2,2,2,2,2,2,2,2,7
24,2,2,2,2,2,2,2,2,7
25,1,1,1,1,1,1,1,1,1
26,0,2,2,2,2,2,2,9,9
27,2,2,4,4,4,4,8,4,2
28,1,1,3,3,3,3,3,3,3
29,2,2,4,4,4,4,8,4,2
30,1,3,3,3,3,3,3,3,3
31,1,3,3,3,3,3,3,3,3
32,1,3,3,3,3,3,3,3,3
33,1,3,3,3,3,3,3,3,3
34,0,3,3,5,6,6,6,6,6
35,2,2,4,4,5,5,8,4,2
36,0,0,0,5,6,6,6,6,6
37,0,0,4,4,4,4,8,9,10
38,2,3,4,4,4,4,4,8,4
39,2,3,4,4,4,4,8,8,4
40,0,3,4,4,4,4,4,8,4
41,2,1,4,4,4,4,4,8,4
42,2,3,4,4,4,4,4,8,4
43,2,2,2,2,2,2,2,9,9
44,2,2,4,4,4,4,8,4,2
45,2,2,2,2,6,6,2,9,9
46,2,2,2,2,2,2,2,2,7
47,1,1,1,1,1,1,1,1,1
48,2,2,4,4,4,7,8,4,2
49,2,2,4,4,4,4,8,4,2
50,2,2,2,2,2,2,8,4,2
51,2,2,2,2,2,2,2,2,7
52,2,2,2,2,2,2,2,2,7
53,2,2,4,4,4,4,8,4,2
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
