,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,1,3,3,3,3,3,3,3,5,0
1,0,3,3,3,3,3,3,3,5,1
2,1,3,3,3,3,3,3,3,5,0
3,2,3,2,4,2,2,2,2,0,2
4,1,3,3,3,3,3,3,3,5,0
5,2,2,2,2,2,2,2,2,0,3
6,2,2,2,2,2,2,2,2,0,1
7,2,2,2,2,2,2,2,2,0,1
8,1,1,1,4,4,4,4,4,3,4
9,0,3,3,4,4,7,7,7,0,5
10,2,2,2,2,2,2,2,7,0,1
11,2,2,2,2,2,2,2,2,0,1
12,2,2,2,2,2,2,2,2,0,1
13,2,2,2,2,2,2,2,2,0,1
14,2,2,2,2,2,7,7,7,0,1
15,2,2,2,2,2,2,2,2,0,3
16,2,2,2,2,2,2,2,2,0,3
17,2,2,2,2,2,2,2,2,0,3
18,2,2,2,2,2,2,2,2,0,3
19,2,2,2,2,2,2,2,2,0,3
20,2,2,2,2,2,2,2,2,0,3
21,2,2,4,4,4,4,4,4,3,4
22,99,99,99,99,99,99,99,99,99,99
23,1,3,1,1,1,7,1,1,3,2
24,99,99,99,99,99,99,99,99,99,99
25,1,1,1,1,1,1,1,1,3,2
26,2,2,2,2,2,2,2,2,0,2
27,1,1,1,1,1,1,1,1,3,2
28,1,1,1,1,1,1,1,1,3,2
29,1,1,1,1,1,1,1,1,3,2
30,2,2,4,5,5,5,5,5,5,5
31,0,0,4,5,5,5,5,5,5,5
32,0,0,4,5,5,5,5,9,5,5
33,2,2,4,5,5,5,5,5,5,6
34,2,2,4,5,5,5,5,9,5,6
35,0,3,3,3,3,3,3,3,5,0
36,1,1,4,4,4,4,4,4,3,4
37,2,2,2,4,4,7,8,8,3,7
38,1,1,1,2,1,1,8,8,3,7
39,1,1,1,1,1,1,1,1,3,2
40,1,1,1,1,1,1,1,1,3,2
41,1,0,0,1,1,6,6,6,3,5
42,99,99,99,99,99,99,99,99,99,99
43,1,1,1,1,1,7,1,1,3,2
44,1,1,1,1,1,1,1,1,3,2
45,1,1,1,1,1,1,1,1,3,2
46,1,1,1,1,1,1,1,1,3,2
47,2,2,4,4,4,4,8,8,3,7
48,1,1,1,1,1,1,1,1,3,2
49,1,1,1,5,5,5,5,9,5,6
50,0,0,0,0,6,6,6,6,3,5
51,1,1,1,1,6,7,1,1,3,2
52,1,1,1,1,6,6,6,6,3,2
53,1,1,1,1,1,1,1,1,3,2
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.09177812056093632,0.10622401520977538,0.11432308466374139,0.11909918901542942,0.12906596593094574,0.11149354600684827,0.11908173392029113,0.11230369526652607,0.14395460619392145,0.09086464126396782
NMI,0.40573587272025241,0.40205776391325998,0.61535033226560276,0.70250077432187319,0.76656309818350821,0.71210773684288231,0.76152461653834758,0.73834596424361576,1.0,0.5373588367724792
